######################################################################################################################
#                                            EXPERIMENTAL PROTOCOL REPORT                                            #
######################################################################################################################
# DATE      : 05-05-2026                                                                                             #
# TIME      : 10-40                                                                                                  #
# DATASET   : MNIST digits stratified                                                                                #
# CLASSIFIER: DenseBaseline                                                                                          #
# SUBSET    : 1/5                                                                                                    #
# SPLITS    : train=921, val=231, test=288                                                                           #
# TRAINING  : epochs=50, batch_size=16, lr=0.0010, device=cpu                                                        #
# ARCHITECT.: 16x16 grayscale -> Flatten(256) -> Linear(256, num_classes)                                            #
# MODEL     : num_classes=10                                                                                         #
# TORCHINFO SUMMARY:                                                                                                 #
# =================================================================                                                  #
# Layer (type:depth-idx)                   Param #                                                                   #
# =================================================================                                                  #
# DenseBaseline                            --                                                                        #
# ├─Flatten: 1-1                           --                                                                        #
# ├─Linear: 1-2                            2,570                                                                     #
# =================================================================                                                  #
# Total params: 2,570                                                                                                #
# Trainable params: 2,570                                                                                            #
# Non-trainable params: 0                                                                                            #
# =================================================================                                                  #
######################################################################################################################

+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|  Epoch  | TrLoss | TrAcc  | TrPrec | TrRec  |  TrF1  | VaLoss | VaAcc  | VaPrec | VaRec  |  VaF1  |
+=========+========+========+========+========+========+========+========+========+========+========+
|  001/050|  2.0580|  0.4539|  0.5842|  0.4539|  0.4544|  1.8637|  0.6320|  0.7511|  0.6320|  0.6306|
|  002/050|  1.7037|  0.7134|  0.7499|  0.7134|  0.7043|  1.5684|  0.7792|  0.7958|  0.7792|  0.7756|
|  003/050|  1.4415|  0.8024|  0.8163|  0.8024|  0.7991|  1.3567|  0.7835|  0.8056|  0.7835|  0.7793|
|  004/050|  1.2499|  0.8111|  0.8243|  0.8111|  0.8071|  1.1985|  0.7879|  0.8085|  0.7879|  0.7865|
|  005/050|  1.1076|  0.8415|  0.8494|  0.8415|  0.8403|  1.0824|  0.7879|  0.8106|  0.7879|  0.7877|
|  006/050|  0.9941|  0.8360|  0.8440|  0.8360|  0.8344|  0.9940|  0.7835|  0.7995|  0.7835|  0.7825|
|  007/050|  0.9085|  0.8534|  0.8589|  0.8534|  0.8527|  0.9238|  0.7965|  0.8156|  0.7965|  0.7962|
|  008/050|  0.8389|  0.8556|  0.8616|  0.8556|  0.8546|  0.8684|  0.8009|  0.8134|  0.8009|  0.8002|
|  009/050|  0.7834|  0.8588|  0.8639|  0.8588|  0.8582|  0.8233|  0.8139|  0.8311|  0.8139|  0.8143|
|  010/050|  0.7343|  0.8708|  0.8758|  0.8708|  0.8705|  0.7841|  0.8355|  0.8469|  0.8355|  0.8362|
|  011/050|  0.6937|  0.8686|  0.8721|  0.8686|  0.8682|  0.7519|  0.8268|  0.8402|  0.8268|  0.8276|
|  012/050|  0.6574|  0.8751|  0.8782|  0.8751|  0.8746|  0.7234|  0.8268|  0.8402|  0.8268|  0.8276|
|  013/050|  0.6247|  0.8773|  0.8812|  0.8773|  0.8770|  0.6992|  0.8355|  0.8469|  0.8355|  0.8369|
|  014/050|  0.5968|  0.8806|  0.8834|  0.8806|  0.8801|  0.6788|  0.8355|  0.8469|  0.8355|  0.8369|
|  015/050|  0.5729|  0.8871|  0.8894|  0.8871|  0.8869|  0.6598|  0.8442|  0.8532|  0.8442|  0.8452|
|  016/050|  0.5549|  0.8914|  0.8941|  0.8914|  0.8914|  0.6422|  0.8442|  0.8535|  0.8442|  0.8451|
|  017/050|  0.5349|  0.8914|  0.8930|  0.8914|  0.8911|  0.6274|  0.8485|  0.8597|  0.8485|  0.8498|
|  018/050|  0.5158|  0.8958|  0.8981|  0.8958|  0.8956|  0.6153|  0.8571|  0.8668|  0.8571|  0.8591|
|  019/050|  0.4979|  0.9001|  0.9014|  0.9001|  0.9001|  0.6020|  0.8571|  0.8665|  0.8571|  0.8585|
|  020/050|  0.4856|  0.8969|  0.8989|  0.8969|  0.8967|  0.5907|  0.8485|  0.8563|  0.8485|  0.8487|
|  021/050|  0.4683|  0.9001|  0.9015|  0.9001|  0.9001|  0.5799|  0.8528|  0.8600|  0.8528|  0.8544|
|  022/050|  0.4559|  0.9088|  0.9107|  0.9088|  0.9088|  0.5700|  0.8701|  0.8769|  0.8701|  0.8715|
|  023/050|  0.4444|  0.9077|  0.9084|  0.9077|  0.9076|  0.5611|  0.8658|  0.8735|  0.8658|  0.8672|
|  024/050|  0.4331|  0.9121|  0.9133|  0.9121|  0.9120|  0.5543|  0.8658|  0.8735|  0.8658|  0.8672|
