######################################################################################################################
#                                            EXPERIMENTAL PROTOCOL REPORT                                            #
######################################################################################################################
# DATE      : 05-05-2026                                                                                             #
# TIME      : 10-40                                                                                                  #
# DATASET   : MNIST digits stratified                                                                                #
# CLASSIFIER: DenseBaseline                                                                                          #
# SUBSET    : 3/5                                                                                                    #
# SPLITS    : train=921, val=231, test=288                                                                           #
# TRAINING  : epochs=50, batch_size=16, lr=0.0010, device=cpu                                                        #
# MODEL     : num_classes=10                                                                                         #
# TORCHINFO SUMMARY:                                                                                                 #
# =================================================================                                                  #
# Layer (type:depth-idx)                   Param #                                                                   #
# =================================================================                                                  #
# DenseBaseline                            --                                                                        #
# ├─Flatten: 1-1                           --                                                                        #
# ├─Linear: 1-2                            2,570                                                                     #
# =================================================================                                                  #
# Total params: 2,570                                                                                                #
# Trainable params: 2,570                                                                                            #
# Non-trainable params: 0                                                                                            #
# =================================================================                                                  #
######################################################################################################################

+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|  Epoch  | TrLoss | TrAcc  | TrPrec | TrRec  |  TrF1  | VaLoss | VaAcc  | VaPrec | VaRec  |  VaF1  |
+=========+========+========+========+========+========+========+========+========+========+========+
|  001/050|  2.0880|  0.4647|  0.5056|  0.4647|  0.4612|  1.9005|  0.7143|  0.7633|  0.7143|  0.6987|
|  002/050|  1.7217|  0.7546|  0.7735|  0.7546|  0.7513|  1.6111|  0.7619|  0.7949|  0.7619|  0.7534|
|  003/050|  1.4549|  0.7850|  0.7928|  0.7850|  0.7820|  1.4028|  0.7879|  0.8114|  0.7879|  0.7857|
|  004/050|  1.2616|  0.7948|  0.8020|  0.7948|  0.7926|  1.2463|  0.7879|  0.8078|  0.7879|  0.7858|
|  005/050|  1.1191|  0.8111|  0.8155|  0.8111|  0.8087|  1.1295|  0.8139|  0.8252|  0.8139|  0.8110|
|  006/050|  1.0066|  0.8132|  0.8203|  0.8132|  0.8114|  1.0374|  0.8052|  0.8162|  0.8052|  0.8039|
|  007/050|  0.9249|  0.8252|  0.8308|  0.8252|  0.8237|  0.9672|  0.8139|  0.8274|  0.8139|  0.8124|
|  008/050|  0.8561|  0.8317|  0.8348|  0.8317|  0.8310|  0.9085|  0.8182|  0.8308|  0.8182|  0.8173|
|  009/050|  0.7996|  0.8339|  0.8396|  0.8339|  0.8331|  0.8603|  0.8182|  0.8283|  0.8182|  0.8172|
|  010/050|  0.7535|  0.8502|  0.8523|  0.8502|  0.8494|  0.8203|  0.8139|  0.8246|  0.8139|  0.8132|
|  011/050|  0.7158|  0.8556|  0.8585|  0.8556|  0.8555|  0.7837|  0.8225|  0.8282|  0.8225|  0.8214|
|  012/050|  0.6827|  0.8599|  0.8618|  0.8599|  0.8594|  0.7546|  0.8312|  0.8381|  0.8312|  0.8300|
|  013/050|  0.6517|  0.8610|  0.8632|  0.8610|  0.8607|  0.7280|  0.8312|  0.8381|  0.8312|  0.8300|
|  014/050|  0.6254|  0.8632|  0.8648|  0.8632|  0.8627|  0.7037|  0.8355|  0.8415|  0.8355|  0.8345|
|  015/050|  0.5995|  0.8632|  0.8652|  0.8632|  0.8629|  0.6830|  0.8355|  0.8415|  0.8355|  0.8345|
|  016/050|  0.5818|  0.8697|  0.8708|  0.8697|  0.8692|  0.6660|  0.8398|  0.8462|  0.8398|  0.8387|
|  017/050|  0.5614|  0.8719|  0.8733|  0.8719|  0.8711|  0.6492|  0.8442|  0.8515|  0.8442|  0.8437|
|  018/050|  0.5441|  0.8762|  0.8767|  0.8762|  0.8758|  0.6348|  0.8485|  0.8548|  0.8485|  0.8475|
|  019/050|  0.5304|  0.8762|  0.8774|  0.8762|  0.8757|  0.6227|  0.8485|  0.8563|  0.8485|  0.8476|
|  020/050|  0.5118|  0.8795|  0.8803|  0.8795|  0.8790|  0.6077|  0.8528|  0.8588|  0.8528|  0.8521|
|  021/050|  0.5007|  0.8827|  0.8840|  0.8827|  0.8824|  0.5953|  0.8571|  0.8631|  0.8571|  0.8562|
|  022/050|  0.4864|  0.8871|  0.8879|  0.8871|  0.8865|  0.5864|  0.8615|  0.8669|  0.8615|  0.8606|
|  023/050|  0.4759|  0.8849|  0.8862|  0.8849|  0.8846|  0.5758|  0.8615|  0.8674|  0.8615|  0.8607|
|  024/050|  0.4662|  0.8914|  0.8920|  0.8914|  0.8909|  0.5672|  0.8658|  0.8694|  0.8658|  0.8646|
|  025/050|  0.4539|  0.8903|  0.8910|  0.8903|  0.8900|  0.5584|  0.8658|  0.8707|  0.8658|  0.8647|
|  026/050|  0.4459|  0.8925|  0.8935|  0.8925|  0.8921|  0.5517|  0.8658|  0.8707|  0.8658|  0.8647|
|  027/050|  0.4356|  0.8925|  0.8935|  0.8925|  0.8923|  0.5417|  0.8658|  0.8700|  0.8658|  0.8648|
|  028/050|  0.4246|  0.8969|  0.8974|  0.8969|  0.8963|  0.5389|  0.8658|  0.8700|  0.8658|  0.8648|
|  029/050|  0.4176|  0.8958|  0.8966|  0.8958|  0.8953|  0.5312|  0.8701|  0.8750|  0.8701|  0.8690|
|  030/050|  0.4086|  0.8990|  0.8996|  0.8990|  0.8985|  0.5251|  0.8701|  0.8743|  0.8701|  0.8690|
|  031/050|  0.4046|  0.9012|  0.9017|  0.9012|  0.9008|  0.5207|  0.8701|  0.8743|  0.8701|  0.8690|
|  032/050|  0.3935|  0.9034|  0.9038|  0.9034|  0.9029|  0.5134|  0.8745|  0.8781|  0.8745|  0.8735|
|  033/050|  0.3902|  0.9001|  0.9008|  0.9001|  0.8998|  0.5088|  0.8745|  0.8781|  0.8745|  0.8735|
|  034/050|  0.3806|  0.9034|  0.9035|  0.9034|  0.9028|  0.5039|  0.8745|  0.8781|  0.8745|  0.8735|
|  035/050|  0.3771|  0.9055|  0.9059|  0.9055|  0.9052|  0.4992|  0.8788|  0.8831|  0.8788|  0.8778|
|  036/050|  0.3697|  0.9121|  0.9123|  0.9121|  0.9117|  0.4952|  0.8788|  0.8831|  0.8788|  0.8778|
|  037/050|  0.3623|  0.9077|  0.9087|  0.9077|  0.9075|  0.4905|  0.8745|  0.8781|  0.8745|  0.8735|
|  038/050|  0.3579|  0.9110|  0.9114|  0.9110|  0.9106|  0.4878|  0.8788|  0.8831|  0.8788|  0.8778|
|  039/050|  0.3566|  0.9110|  0.9110|  0.9110|  0.9106|  0.4832|  0.8788|  0.8831|  0.8788|  0.8778|
|  040/050|  0.3467|  0.9186|  0.9191|  0.9186|  0.9183|  0.4819|  0.8745|  0.8790|  0.8745|  0.8732|
|  041/050|  0.3449|  0.9131|  0.9136|  0.9131|  0.9129|  0.4796|  0.8745|  0.8807|  0.8745|  0.8729|
|  042/050|  0.3386|  0.9197|  0.9208|  0.9197|  0.9197|  0.4752|  0.8788|  0.8831|  0.8788|  0.8778|
|  043/050|  0.3323|  0.9175|  0.9183|  0.9175|  0.9174|  0.4715|  0.8745|  0.8790|  0.8745|  0.8732|
|  044/050|  0.3276|  0.9186|  0.9187|  0.9186|  0.9183|  0.4703|  0.8745|  0.8807|  0.8745|  0.8729|
|  045/050|  0.3291|  0.9186|  0.9196|  0.9186|  0.9187|  0.4685|  0.8745|  0.8807|  0.8745|  0.8729|
|  046/050|  0.3210|  0.9262|  0.9272|  0.9262|  0.9263|  0.4633|  0.8745|  0.8807|  0.8745|  0.8729|
|  047/050|  0.3138|  0.9251|  0.9264|  0.9251|  0.9252|  0.4616|  0.8745|  0.8807|  0.8745|  0.8729|
|  048/050|  0.3140|  0.9273|  0.9281|  0.9273|  0.9273|  0.4612|  0.8745|  0.8789|  0.8745|  0.8731|
|  049/050|  0.3066|  0.9262|  0.9264|  0.9262|  0.9260|  0.4567|  0.8745|  0.8807|  0.8745|  0.8729|
|  050/050|  0.3030|  0.9316|  0.9328|  0.9316|  0.9318|  0.4530|  0.8745|  0.8807|  0.8745|  0.8729|
+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+

######################################################################################################################
#                                                    TEST RESULTS                                                    #
######################################################################################################################
# LOSS      : 0.5080                                                                                                 #
# ACCURACY  : 0.8924                                                                                                 #
# PRECISION : 0.8933                                                                                                 #
# RECALL    : 0.8924                                                                                                 #
# F1        : 0.8920                                                                                                 #
# CONFUSION MATRIX:                                                                                                  #
# [[28  0  0  0  0  1  0  0  0  0]                                                                                   #
#  [ 0 28  0  0  0  0  0  0  1  0]                                                                                   #
#  [ 0  0 26  0  0  1  0  0  1  1]                                                                                   #
#  [ 0  0  1 25  0  1  1  0  0  1]                                                                                   #
#  [ 0  0  0  0 27  0  0  0  1  0]                                                                                   #
#  [ 1  0  0  3  0 22  1  1  0  0]                                                                                   #
#  [ 0  0  1  0  0  0 28  0  0  0]                                                                                   #
#  [ 0  1  0  0  0  0  0 25  2  1]                                                                                   #
#  [ 0  0  0  1  3  1  0  0 23  1]                                                                                   #
#  [ 0  0  1  1  2  0  0  0  0 25]]                                                                                  #
######################################################################################################################
