Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.105016996;0.3887079262;0.4602071186;0.3887079262;0.375407351;1.915857283;0.658008658;0.7372441775;0.658008658;0.6399098305
2;1.736321326;0.7144408252;0.7471424684;0.7144408252;0.7083828438;1.630493442;0.7619047619;0.7895221673;0.7619047619;0.754767487
3;1.469418174;0.7871878393;0.7971715861;0.7871878393;0.7829369345;1.416863418;0.7835497835;0.8016351927;0.7835497835;0.7809822929
4;1.272927305;0.8143322476;0.8205546506;0.8143322476;0.8126528955;1.261456807;0.7922077922;0.8026599688;0.7922077922;0.7903866186
5;1.127477901;0.8154180239;0.8212974103;0.8154180239;0.8139185298;1.142868471;0.7965367965;0.8092387359;0.7965367965;0.794581198
6;1.020274093;0.8219326819;0.8276110528;0.8219326819;0.8205480258;1.050794236;0.8095238095;0.8159867562;0.8095238095;0.8079109926
7;0.9317668954;0.8230184582;0.8254538621;0.8230184582;0.8219078413;0.976304098;0.8095238095;0.817053454;0.8095238095;0.8078531673
8;0.8629150853;0.8425624321;0.8438534678;0.8425624321;0.8417306041;0.9165562193;0.8181818182;0.8241697184;0.8181818182;0.8160583392
9;0.8062996299;0.8371335505;0.842463351;0.8371335505;0.8365334988;0.867334044;0.8181818182;0.823182728;0.8181818182;0.8164287541
10;0.7584590069;0.8512486428;0.8534871871;0.8512486428;0.8508468606;0.8252351642;0.8181818182;0.8233314825;0.8181818182;0.8167126884
