Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.113266976;0.3659066232;0.40897933;0.3659066232;0.3380033836;1.922898118;0.5281385281;0.4944347747;0.5281385281;0.4783375587
2;1.744634526;0.6796959826;0.7394593596;0.6796959826;0.6583320393;1.627348304;0.7359307359;0.7780957489;0.7359307359;0.7279047455
3;1.47493287;0.7643865364;0.7949105461;0.7643865364;0.750167902;1.41201938;0.7575757576;0.7772079185;0.7575757576;0.7532968425
4;1.274273956;0.7937024973;0.8093130678;0.7937024973;0.7875283484;1.251771053;0.7922077922;0.8118990317;0.7922077922;0.7879117119
5;1.127636469;0.8056460369;0.8193904484;0.8056460369;0.7995893492;1.127682483;0.8138528139;0.8261143178;0.8138528139;0.8105949555
6;1.01301549;0.8241042345;0.8330068732;0.8241042345;0.8220853844;1.033337859;0.8225108225;0.8266451227;0.8225108225;0.8187967051
7;0.9208146827;0.8360477742;0.8430758618;0.8360477742;0.8345792321;0.959431835;0.8268398268;0.8309453991;0.8268398268;0.8227978698
8;0.8540305691;0.8534201954;0.856851295;0.8534201954;0.8529033805;0.8974410097;0.8311688312;0.8315237232;0.8311688312;0.8285780435
9;0.7929671201;0.8588490771;0.8613788014;0.8588490771;0.8576478467;0.8465315819;0.8311688312;0.8326463822;0.8311688312;0.8285185801
10;0.7421675962;0.8653637351;0.8694509573;0.8653637351;0.8657902196;0.8047219594;0.8398268398;0.8403853188;0.8398268398;0.837023258
