Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.294197067;0.1107491857;0.1610894845;0.1107491857;0.0398472741;2.266695499;0.1341991342;0.06505115679;0.1341991342;0.0593280304
2;2.223927005;0.2833876221;0.4949558375;0.2833876221;0.2593942163;2.149637759;0.4199134199;0.416185088;0.4199134199;0.343720156
3;2.014818176;0.5103148751;0.4849476674;0.5103148751;0.4394733381;1.840707123;0.5367965368;0.4986819655;0.5367965368;0.4832814545
4;1.57832582;0.6156351792;0.654811055;0.6156351792;0.5771832927;1.348989785;0.6363636364;0.7313855512;0.6363636364;0.617687788
5;1.092119443;0.6894679696;0.6897977586;0.6894679696;0.6741492728;0.970078066;0.6883116883;0.7551677906;0.6883116883;0.6776656039
6;0.7755614718;0.7676438654;0.7698753863;0.7676438654;0.7662415055;0.7358406186;0.7532467532;0.7990492014;0.7532467532;0.7503279436
7;0.6133961101;0.8251900109;0.8269171313;0.8251900109;0.8246366196;0.6315776706;0.8008658009;0.8470082327;0.8008658009;0.7915221788
8;0.5044594765;0.8610206298;0.8613166354;0.8610206298;0.8604891508;0.541191414;0.8051948052;0.84212699;0.8051948052;0.8040049342
9;0.4490300318;0.8718783931;0.8731707227;0.8718783931;0.8712694923;0.468254678;0.8484848485;0.8588186387;0.8484848485;0.8505688288
10;0.4011019786;0.8957654723;0.8963342354;0.8957654723;0.8957256639;0.4239503816;0.8701298701;0.8772973059;0.8701298701;0.8698104744
11;0.3710841656;0.8935939197;0.8944875116;0.8935939197;0.8937288053;0.387310423;0.8744588745;0.889844362;0.8744588745;0.8737237901
12;0.3241191963;0.9109663409;0.9112086378;0.9109663409;0.910927305;0.383740522;0.8701298701;0.8768054617;0.8701298701;0.8687980022
13;0.2967277914;0.9196525516;0.9199998746;0.9196525516;0.9196624698;0.3469389752;0.9004329004;0.9090497704;0.9004329004;0.9015084899
14;0.2740726988;0.9294245385;0.9301561257;0.9294245385;0.9295035036;0.3103997633;0.9134199134;0.9183104658;0.9134199134;0.9143612029
15;0.2534853871;0.9283387622;0.9285481493;0.9283387622;0.9282851517;0.3245632946;0.8961038961;0.9060542048;0.8961038961;0.8969480075
16;0.2395590643;0.9391965255;0.9395237029;0.9391965255;0.939257909;0.2762671448;0.9220779221;0.9243167136;0.9220779221;0.9221235753
17;0.2219606807;0.9446254072;0.944938798;0.9446254072;0.9446978216;0.2829079665;0.9220779221;0.9265990143;0.9220779221;0.9229172158
18;0.2231293743;0.9413680782;0.9418538032;0.9413680782;0.9414135027;0.2559276633;0.9350649351;0.9360136184;0.9350649351;0.9346837538
19;0.2047338287;0.9402823018;0.9409688575;0.9402823018;0.9404456447;0.2810128182;0.9047619048;0.9157644855;0.9047619048;0.9055645272
20;0.1828696251;0.9533116178;0.9538865389;0.9533116178;0.9533953917;0.2503237613;0.9437229437;0.944862259;0.9437229437;0.9436745541
21;0.1806665371;0.9489685125;0.94924474;0.9489685125;0.9490112823;0.2405593693;0.9393939394;0.9413119204;0.9393939394;0.9396013489
22;0.1711462761;0.9543973941;0.9546786947;0.9543973941;0.9543165527;0.2419930436;0.9393939394;0.9420970444;0.9393939394;0.939887122
23;0.1541221519;0.9533116178;0.9539441585;0.9533116178;0.9534735599;0.2360728532;0.9307359307;0.934947548;0.9307359307;0.9308254641
24;0.1486319264;0.9554831705;0.9558915206;0.9554831705;0.955441356;0.2573584504;0.9177489177;0.9292866982;0.9177489177;0.9196356502
25;0.1318310847;0.9674267101;0.9677545369;0.9674267101;0.9674820436;0.2397103682;0.9437229437;0.9472270322;0.9437229437;0.9429083733
26;0.1416531759;0.9598262758;0.9599702775;0.9598262758;0.9597802864;0.25238337;0.9350649351;0.9409987018;0.9350649351;0.9360450852
27;0.1307374669;0.9598262758;0.9601047014;0.9598262758;0.9598503867;0.2981367595;0.9090909091;0.9182619158;0.9090909091;0.9048854778
28;0.1269252621;0.9619978284;0.9623882312;0.9619978284;0.962063479;0.2320053484;0.9480519481;0.9497740564;0.9480519481;0.9474337149
29;0.1150096613;0.9695982628;0.9698032946;0.9695982628;0.9695182807;0.2392697781;0.9307359307;0.936745127;0.9307359307;0.9314101609
30;0.1094562287;0.9641693811;0.9642879653;0.9641693811;0.9640482031;0.2216283996;0.9350649351;0.9378439518;0.9350649351;0.9350664805
31;0.09945633362;0.9750271444;0.9755294625;0.9750271444;0.9751218643;0.2135606389;0.9437229437;0.9453909222;0.9437229437;0.943652662
32;0.09607945705;0.9695982628;0.969642786;0.9695982628;0.9695977175;0.2226254418;0.9437229437;0.9448930867;0.9437229437;0.9434761245
33;0.08611271332;0.9761129207;0.9762012829;0.9761129207;0.9761113635;0.200040048;0.9480519481;0.951002886;0.9480519481;0.9485304441
34;0.08068025957;0.9782844734;0.9784644991;0.9782844734;0.9783001372;0.2476738244;0.9307359307;0.9351619368;0.9307359307;0.9313552491
35;0.07813238253;0.9782844734;0.97844592;0.9782844734;0.9783307244;0.2146077063;0.9523809524;0.9557679974;0.9523809524;0.9529167312
36;0.07721113997;0.9782844734;0.9784542805;0.9782844734;0.978330354;0.2231054809;0.9480519481;0.9532312925;0.9480519481;0.9489841507
37;0.06983431987;0.9826275787;0.9827319086;0.9826275787;0.9826507032;0.2027230691;0.9437229437;0.9498556999;0.9437229437;0.945171665
38;0.0721927844;0.9750271444;0.9751253985;0.9750271444;0.9750309471;0.2177358828;0.9437229437;0.9498556999;0.9437229437;0.945171665
