######################################################################################################################
#                                            EXPERIMENTAL PROTOCOL REPORT                                            #
######################################################################################################################
# DATE      : 2026-05-18                                                                                             #
# TIME      : 08-22                                                                                                  #
# DATASET   : MNIST digits stratified                                                                                #
# CLASSIFIER: SimpleCNNBaseline                                                                                      #
# SUBSET    : 3/5                                                                                                    #
# SPLITS    : train=921, val=231, test=288                                                                           #
# TRAINING  : epochs=50, batch_size=64, lr=0.0010, device=cpu                                                        #
# MODEL     : num_classes=10                                                                                         #
# TORCHINFO SUMMARY:                                                                                                 #
# =================================================================                                                  #
# Layer (type:depth-idx)                   Param #                                                                   #
# =================================================================                                                  #
# SimpleCNNBaseline                        --                                                                        #
# ├─Sequential: 1-1                        --                                                                        #
# │    └─Conv2d: 2-1                       160                                                                       #
# │    └─ReLU: 2-2                         --                                                                        #
# │    └─MaxPool2d: 2-3                    --                                                                        #
# │    └─Conv2d: 2-4                       4,640                                                                     #
# │    └─ReLU: 2-5                         --                                                                        #
# │    └─MaxPool2d: 2-6                    --                                                                        #
# ├─Sequential: 1-2                        --                                                                        #
# │    └─Flatten: 2-7                      --                                                                        #
# │    └─Linear: 2-8                       32,832                                                                    #
# │    └─ReLU: 2-9                         --                                                                        #
# │    └─Linear: 2-10                      650                                                                       #
# =================================================================                                                  #
# Total params: 38,282                                                                                               #
# Trainable params: 38,282                                                                                           #
# Non-trainable params: 0                                                                                            #
# =================================================================                                                  #
######################################################################################################################

+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|  Epoch  | TrLoss | TrAcc  | TrPrec | TrRec  |  TrF1  | VaLoss | VaAcc  | VaPrec | VaRec  |  VaF1  |
+=========+========+========+========+========+========+========+========+========+========+========+
|  001/050|  2.2865|  0.1564|  0.1687|  0.1564|  0.0998|  2.2451|  0.3247|  0.2957|  0.3247|  0.2537|
|  002/050|  2.1685|  0.3735|  0.5536|  0.3735|  0.3457|  2.0664|  0.4935|  0.6093|  0.4935|  0.4549|
|  003/050|  1.8716|  0.5114|  0.6380|  0.5114|  0.4693|  1.6533|  0.6277|  0.6918|  0.6277|  0.6170|
|  004/050|  1.3511|  0.7101|  0.7102|  0.7101|  0.6991|  1.1385|  0.6840|  0.7470|  0.6840|  0.6765|
|  005/050|  0.9028|  0.7459|  0.7472|  0.7459|  0.7423|  0.9010|  0.7056|  0.7697|  0.7056|  0.6940|
|  006/050|  0.7115|  0.7796|  0.7784|  0.7796|  0.7772|  0.7443|  0.7619|  0.7905|  0.7619|  0.7656|
|  007/050|  0.6009|  0.8198|  0.8216|  0.8198|  0.8180|  0.6294|  0.7965|  0.8199|  0.7965|  0.7989|
|  008/050|  0.4968|  0.8610|  0.8612|  0.8610|  0.8608|  0.5745|  0.8139|  0.8227|  0.8139|  0.8113|
|  009/050|  0.4717|  0.8599|  0.8591|  0.8599|  0.8592|  0.5682|  0.8268|  0.8385|  0.8268|  0.8239|
|  010/050|  0.4491|  0.8719|  0.8716|  0.8719|  0.8713|  0.5231|  0.8442|  0.8545|  0.8442|  0.8425|
|  011/050|  0.3661|  0.8958|  0.8958|  0.8958|  0.8953|  0.4817|  0.8528|  0.8656|  0.8528|  0.8532|
|  012/050|  0.3359|  0.9153|  0.9161|  0.9153|  0.9154|  0.4570|  0.8615|  0.8738|  0.8615|  0.8620|
