Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.281941605;0.230184582;0.3168677894;0.230184582;0.1942746341;2.23210603;0.3506493506;0.3602458;0.3506493506;0.2814890574
2;2.152063338;0.4191096634;0.3704400207;0.4191096634;0.3512370839;2.004323155;0.4718614719;0.6301063382;0.4718614719;0.4013489365
3;1.800162665;0.5515743757;0.6448386664;0.5515743757;0.5057270898;1.527653009;0.645021645;0.7389631173;0.645021645;0.582091803
4;1.287826117;0.6786102063;0.6791823635;0.6786102063;0.6587370928;1.004482582;0.7316017316;0.7321793135;0.7316017316;0.7247863658
5;0.8612459222;0.7741585233;0.7724780375;0.7741585233;0.7708181924;0.7398110181;0.7835497835;0.8259005117;0.7835497835;0.7833402618
6;0.6495191336;0.8143322476;0.8182413193;0.8143322476;0.8143154178;0.594526574;0.8138528139;0.8335375064;0.8138528139;0.8078666353
7;0.5355104864;0.8425624321;0.8471406075;0.8425624321;0.8425606875;0.5085968152;0.8528138528;0.8597407067;0.8528138528;0.8432129378
8;0.4410359383;0.8718783931;0.871329857;0.8718783931;0.8712624936;0.4266099408;0.8744588745;0.8735027584;0.8744588745;0.8719042954
9;0.3962950985;0.897937025;0.8987343499;0.897937025;0.8980605934;0.4499875903;0.8268398268;0.8397116225;0.8268398268;0.8212578011
10;0.3748861283;0.8870792617;0.8879165866;0.8870792617;0.8870610963;0.3769878671;0.8917748918;0.8977897147;0.8917748918;0.8903190122
