Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;17.27381659;0.3398479913;0.340669429;0.3398479913;0.3401236961;11.72673591;0.4502164502;0.5940008059;0.4502164502;0.4331882469
2;9.67210255;0.4896851249;0.4911800109;0.4896851249;0.4901101189;14.15353883;0.4415584416;0.4326296663;0.4415584416;0.3983726581
3;9.486098109;0.5298588491;0.5276732585;0.5298588491;0.5283231227;13.06367874;0.4545454545;0.6341685251;0.4545454545;0.4419132902
4;9.873478926;0.5580890337;0.5601534487;0.5580890337;0.5586425886;15.00891549;0.4935064935;0.436054053;0.4935064935;0.4471670392
5;11.29731259;0.5385450597;0.5407062125;0.5385450597;0.5393200141;10.88767538;0.5324675325;0.5471550778;0.5324675325;0.5152167394
6;10.4116778;0.5678610206;0.5676051083;0.5678610206;0.5675222092;14.42356407;0.5064935065;0.5582190005;0.5064935065;0.4894817713
7;10.71360489;0.5852334419;0.5861547348;0.5852334419;0.5853868418;15.2199144;0.5108225108;0.5376873943;0.5108225108;0.4997692172
8;12.00607727;0.5711183496;0.5696387539;0.5711183496;0.5702324654;16.60315461;0.5238095238;0.5448769885;0.5238095238;0.5078018995
9;11.43903746;0.5982627579;0.6001047714;0.5982627579;0.5989635189;15.55941648;0.5238095238;0.5319276516;0.5238095238;0.5047451036
10;11.61639879;0.6221498371;0.6267592223;0.6221498371;0.6240895251;19.3308569;0.5238095238;0.5435308199;0.5238095238;0.4938896504
