Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.322151885;0.2290988056;0.2217644246;0.2290988056;0.2237135208;1.979949792;0.3203463203;0.4924504974;0.3203463203;0.2700746358
2;1.929868881;0.3463626493;0.3375682509;0.3463626493;0.3407912967;1.713582595;0.4329004329;0.4502682659;0.4329004329;0.4037760589
3;1.911914164;0.3528773073;0.3457032881;0.3528773073;0.3474126793;1.75206813;0.367965368;0.4792049221;0.367965368;0.3456951021
4;1.862979669;0.3669923996;0.3564321632;0.3669923996;0.3596101061;1.683696516;0.3852813853;0.4573665413;0.3852813853;0.3903731887
5;1.812612357;0.3745928339;0.368363006;0.3745928339;0.3699641061;1.579191454;0.4718614719;0.4819695388;0.4718614719;0.4595357636
6;1.830305932;0.3887079262;0.3843384121;0.3887079262;0.3847356641;1.62173694;0.4415584416;0.4589973746;0.4415584416;0.4051923083
7;1.726225629;0.4104234528;0.3998731099;0.4104234528;0.4023036246;1.667659386;0.4069264069;0.4025832986;0.4069264069;0.3818718472
8;1.726155178;0.4060803474;0.4027663161;0.4060803474;0.4035332056;1.601384226;0.4458874459;0.537682674;0.4458874459;0.4287732618
9;1.756589635;0.4006514658;0.3888378296;0.4006514658;0.3914019155;1.614438232;0.4372294372;0.4992583535;0.4372294372;0.4179122368
10;1.753408218;0.4060803474;0.402099466;0.4060803474;0.4026631618;1.573885465;0.4545454545;0.4871803227;0.4545454545;0.4261419688
11;1.712215964;0.4115092291;0.4044361557;0.4115092291;0.405969672;1.595547907;0.3852813853;0.3824490324;0.3852813853;0.3629229868
12;1.664363264;0.4364820847;0.4288089075;0.4364820847;0.4297891685;1.622557298;0.4415584416;0.4197808419;0.4415584416;0.4064901943
13;1.720543584;0.4136807818;0.4064164204;0.4136807818;0.4091426771;1.64579738;0.4372294372;0.4480523213;0.4372294372;0.414653269
14;1.698980944;0.4147665581;0.4050447627;0.4147665581;0.4077681232;1.526962916;0.4632034632;0.4929014348;0.4632034632;0.4512438399
15;1.798853767;0.3887079262;0.3816909578;0.3887079262;0.3839572738;1.630744386;0.4891774892;0.5134610881;0.4891774892;0.4647206978
16;1.749313354;0.4049945711;0.3970456184;0.4049945711;0.3988194876;1.575603;0.4069264069;0.4359340511;0.4069264069;0.3879740339
17;1.727245191;0.4267100977;0.4170553703;0.4267100977;0.4199604253;1.732670021;0.380952381;0.490334329;0.380952381;0.378913556
18;1.700714408;0.4256243214;0.4192728377;0.4256243214;0.4206937625;1.622314755;0.3982683983;0.4819509202;0.3982683983;0.381946447
19;1.685085342;0.4267100977;0.4176219655;0.4267100977;0.4208106052;1.636426079;0.4415584416;0.4335819058;0.4415584416;0.4183972001
