Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;1.778818829;0.5352877307;0.5373859549;0.5352877307;0.5359682424;1.166399284;0.6536796537;0.7559905533;0.6536796537;0.660708236
2;0.8377567394;0.7622149837;0.7632464447;0.7622149837;0.7624119873;0.9517270565;0.7186147186;0.7612582961;0.7186147186;0.7242440442
3;0.4841599021;0.8447339848;0.8436608634;0.8447339848;0.8440434433;1.030035209;0.7359307359;0.7879918153;0.7359307359;0.7231481617
4;0.3732578817;0.8827361564;0.8823516128;0.8827361564;0.8824014741;0.9567181925;0.70995671;0.7752729005;0.70995671;0.7078912573
5;0.456529075;0.8599348534;0.8609336733;0.8599348534;0.8601122186;0.6916492984;0.7835497835;0.800222071;0.7835497835;0.7866306387
6;0.3963761278;0.8794788274;0.8791460703;0.8794788274;0.8792175735;0.8263616234;0.7878787879;0.8123590024;0.7878787879;0.7907803802
7;0.3782284844;0.8740499457;0.8740978694;0.8740499457;0.8739448382;1.056991649;0.7229437229;0.7773316815;0.7229437229;0.724251811
8;0.3592230188;0.8892508143;0.8893254908;0.8892508143;0.8889762113;1.115038284;0.7662337662;0.7860013548;0.7662337662;0.7665767947
9;0.4422098545;0.8664495114;0.8666625316;0.8664495114;0.8664424262;1.649432647;0.70995671;0.810649244;0.70995671;0.7076460525
10;0.6330375036;0.8642779587;0.8640258788;0.8642779587;0.8641047897;0.9220620592;0.8268398268;0.8440347918;0.8268398268;0.8282025609
