Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.157042317;0.4972855592;0.5003485493;0.4972855592;0.4981966289;1.118168507;0.6536796537;0.6993053144;0.6536796537;0.6316647823
2;0.8424855722;0.7480998914;0.7490973236;0.7480998914;0.7483036766;0.9634716193;0.70995671;0.7551085751;0.70995671;0.7073583465
3;0.7562966647;0.769815418;0.7697712057;0.769815418;0.7694041413;0.8712382714;0.7316017316;0.7686926301;0.7316017316;0.7293793526
4;0.4707770638;0.8447339848;0.8456714481;0.8447339848;0.8449575922;0.9565504094;0.7316017316;0.8051172172;0.7316017316;0.74241412
5;0.5775349881;0.8284473398;0.8290448357;0.8284473398;0.8285211442;0.9459672153;0.7662337662;0.8201919886;0.7662337662;0.7676199818
6;0.5935411058;0.8143322476;0.8151278317;0.8143322476;0.814408827;1.488771149;0.6666666667;0.7249087066;0.6666666667;0.658022564
7;0.5422974224;0.8360477742;0.8362503548;0.8360477742;0.835621969;1.063210911;0.7402597403;0.7806251072;0.7402597403;0.7488961976
8;0.3541807089;0.891422367;0.8916914618;0.891422367;0.8913488012;0.7949326952;0.7619047619;0.7749857267;0.7619047619;0.7598882118
9;0.3937333034;0.8773072747;0.8778735075;0.8773072747;0.8774190369;1.159624132;0.7575757576;0.7678610009;0.7575757576;0.7567124865
10;0.419304018;0.875135722;0.8753098146;0.875135722;0.87510722;1.550388977;0.7229437229;0.7760666884;0.7229437229;0.6976714567
