Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;4.027192395;0.1335504886;0.1372656161;0.1335504886;0.1332386926;2.92206618;0.1515151515;0.1162501021;0.1515151515;0.08222465365
2;3.14334173;0.1509229099;0.1496740628;0.1509229099;0.1491999229;3.021118244;0.1558441558;0.06299468062;0.1558441558;0.07479982337
3;2.812528623;0.1737242128;0.1764313556;0.1737242128;0.1736224452;2.680302874;0.1645021645;0.1788107632;0.1645021645;0.09974433857
4;2.698187579;0.1834961998;0.1765872005;0.1834961998;0.1788391554;2.498148648;0.2251082251;0.1698899455;0.2251082251;0.1463069987
5;2.65809366;0.2019543974;0.2038207724;0.2019543974;0.2010336072;2.534292459;0.2121212121;0.2038243406;0.2121212121;0.128573772
6;2.715868621;0.1954397394;0.1885787809;0.1954397394;0.190616257;2.425663726;0.2121212121;0.2584246163;0.2121212121;0.1749781606
7;2.753345666;0.2019543974;0.2010060437;0.2019543974;0.200544315;2.330269376;0.2683982684;0.1862432769;0.2683982684;0.2102684182
8;2.522554153;0.2421281216;0.2396116794;0.2421281216;0.2401031197;3.188914855;0.2424242424;0.2045394766;0.2424242424;0.149830978
9;2.625936508;0.1910966341;0.1859919839;0.1910966341;0.187620921;2.63505222;0.2207792208;0.249353208;0.2207792208;0.1460071422
10;2.78498406;0.2062975027;0.1983356327;0.2062975027;0.201332154;2.773605339;0.2510822511;0.4184385167;0.2510822511;0.2013459305
11;2.824187361;0.2052117264;0.1992116377;0.2052117264;0.2007899261;2.893985073;0.1601731602;0.09037990872;0.1601731602;0.09818715365
12;2.892375539;0.1824104235;0.1754325065;0.1824104235;0.1779312235;2.582674487;0.2424242424;0.1298867413;0.2424242424;0.134550843
