Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;3.78623768;0.09880564604;0.09742458134;0.09880564604;0.09710854172;2.78117768;0.1385281385;0.0778696328;0.1385281385;0.08463933914
2;3.028468379;0.1313789359;0.1264838062;0.1313789359;0.1276125042;2.795194467;0.1341991342;0.04331928057;0.1341991342;0.06483493251
3;2.736739738;0.1324647123;0.1349911848;0.1324647123;0.1319580167;3.229843171;0.1255411255;0.04643987853;0.1255411255;0.06184592089
4;2.854385047;0.1411509229;0.1463828956;0.1411509229;0.1423702964;2.549962171;0.1601731602;0.1518170946;0.1601731602;0.1089713587
5;2.812568977;0.1530944625;0.1536547962;0.1530944625;0.1518567488;3.006710037;0.1515151515;0.04110648741;0.1515151515;0.06046475431
6;3.064234199;0.1639522258;0.1639583218;0.1639522258;0.1621450053;2.962009525;0.1645021645;0.1671107069;0.1645021645;0.08537837047
7;3.012210061;0.1552660152;0.1565866726;0.1552660152;0.1552416894;3.292505328;0.1428571429;0.07430682525;0.1428571429;0.07348665534
8;2.783570565;0.1606948969;0.1617619696;0.1606948969;0.1597649083;2.893453423;0.1428571429;0.05918277074;0.1428571429;0.08328273738
9;2.987874013;0.1672095548;0.1691946386;0.1672095548;0.1672943664;2.509337195;0.2034632035;0.175563508;0.2034632035;0.1380319054
10;2.942465905;0.1628664495;0.1652311932;0.1628664495;0.1636582007;3.23682243;0.1082251082;0.09330035044;0.1082251082;0.03957089436
11;2.856088137;0.1726384365;0.1742201525;0.1726384365;0.1723185223;2.609859912;0.1645021645;0.1213017328;0.1645021645;0.1218305103
12;3.008755698;0.1596091205;0.1584799021;0.1596091205;0.1577758657;2.840513627;0.1125541126;0.02632543336;0.1125541126;0.03598987272
13;2.748207154;0.1541802389;0.1553627704;0.1541802389;0.1538524888;3.546963692;0.1774891775;0.1220984897;0.1774891775;0.105634805
14;2.984402385;0.1628664495;0.1649271299;0.1628664495;0.1618560728;3.248022509;0.1212121212;0.08269720499;0.1212121212;0.0615371907
