Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.293904702;0.09771986971;0.07009243802;0.09771986971;0.07097244581;2.275127113;0.1558441558;0.1231945858;0.1558441558;0.09188203679
2;2.233400106;0.1780673181;0.0978426799;0.1780673181;0.1044458412;2.189336181;0.1904761905;0.1322099968;0.1904761905;0.1466010633
3;2.134000508;0.2214983713;0.191049726;0.2214983713;0.1856957411;2.139936149;0.1991341991;0.2034583106;0.1991341991;0.1603300348
4;2.05018545;0.2540716612;0.2298841791;0.2540716612;0.2313411186;2.077721357;0.2510822511;0.2987114639;0.2510822511;0.2195870364
5;2.003232177;0.2833876221;0.2985841448;0.2833876221;0.2615584431;2.016069531;0.2640692641;0.2684375699;0.2640692641;0.2571804873
6;1.932238245;0.3213897937;0.3355747349;0.3213897937;0.304428434;1.98167941;0.2683982684;0.3179941021;0.2683982684;0.2585746465
7;1.858751154;0.3409337676;0.345901666;0.3409337676;0.3361463807;1.925878525;0.2640692641;0.2918004093;0.2640692641;0.2422901698
8;1.789840635;0.3745928339;0.3717156713;0.3745928339;0.3664865805;1.870139301;0.3246753247;0.3233524953;0.3246753247;0.2911857457
9;1.735788878;0.3811074919;0.3904547044;0.3811074919;0.3714686842;1.834150016;0.3463203463;0.3272685868;0.3463203463;0.3047278429
10;1.700647012;0.4158523344;0.4184899784;0.4158523344;0.4105877772;1.803807735;0.3333333333;0.3764682607;0.3333333333;0.3156693726
11;1.649260076;0.4267100977;0.4405481497;0.4267100977;0.4220766135;1.80789277;0.3506493506;0.3714866951;0.3506493506;0.3218986633
12;1.6141258;0.444082519;0.4478483294;0.444082519;0.4388670312;1.763890028;0.3463203463;0.3658442594;0.3463203463;0.3395901771
13;1.565710235;0.4495114007;0.4559110709;0.4495114007;0.4484471248;1.794253707;0.316017316;0.4064905871;0.316017316;0.3041704228
14;1.544861428;0.453854506;0.4556353294;0.453854506;0.4485047606;1.751357585;0.3506493506;0.3370395623;0.3506493506;0.3316797043
15;1.516810624;0.4679695983;0.4739670354;0.4679695983;0.4680204288;1.718892783;0.3896103896;0.4274286098;0.3896103896;0.3889734516
16;1.474290951;0.4777415852;0.4862166537;0.4777415852;0.4757653515;1.785664439;0.367965368;0.3951341495;0.367965368;0.3436782489
17;1.427093554;0.5092290988;0.5047277397;0.5092290988;0.503557426;1.687824398;0.380952381;0.397149485;0.380952381;0.3739537053
18;1.394864742;0.5157437568;0.5203551902;0.5157437568;0.5126868785;1.728275955;0.3982683983;0.4195621066;0.3982683983;0.3955295736
19;1.349699457;0.5200868621;0.5213844445;0.5200868621;0.5189602589;1.681869239;0.4025974026;0.4142535375;0.4025974026;0.4052057673
20;1.317011285;0.5613463626;0.560680362;0.5613463626;0.5598160364;1.701664627;0.3722943723;0.3817014063;0.3722943723;0.3565589545
21;1.297761854;0.549402823;0.5512348306;0.549402823;0.548678287;1.709281415;0.4155844156;0.4231442823;0.4155844156;0.409412847
22;1.266193076;0.5678610206;0.5673959718;0.5678610206;0.5665616861;1.697930902;0.4199134199;0.4392856903;0.4199134199;0.4243816295
23;1.218979164;0.5960912052;0.5998202084;0.5960912052;0.5955114234;1.721738935;0.4112554113;0.4244913451;0.4112554113;0.4023633218
24;1.18140107;0.5982627579;0.5991610838;0.5982627579;0.5957620235;1.701446027;0.4155844156;0.4233159818;0.4155844156;0.4162416147
