######################################################################################################################
#                                            EXPERIMENTAL PROTOCOL REPORT                                            #
######################################################################################################################
# DATE      : 2026-08-13                                                                                             #
# TIME      : 14-48                                                                                                  #
# DATASET   : MNIST digits stratified                                                                                #
# CLASSIFIER: Dense classifier                                                                                       #
# SUBSET    : 1/5                                                                                                    #
# SPLITS    : train=921, val=231, test=288                                                                           #
# TRAINING  : epochs=50, batch_size=16, device=cpu, qnn_lr=0.0010, head_lr=0.0100, dataset_id=cifar_bw,              #
#             experiment_group=baseline, model_family=classical, encoding_id=raw_pixels, model_id=dense_classifier   #
# ARCHITECT.: 32x32 -> Flatten(1024) -> Linear(1024, num_classes) -> Softmax                                         #
# MODEL     : num_classes=10, num_qubits=0, num_layers=0                                                             #
# TORCHINFO SUMMARY:                                                                                                 #
# torchinfo.summary unavailable: No module named 'torchinfo'                                                         #
######################################################################################################################

+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|  Epoch  | TrLoss | TrAcc  | TrPrec | TrRec  |  TrF1  | VaLoss | VaAcc  | VaPrec | VaRec  |  VaF1  |
+=========+========+========+========+========+========+========+========+========+========+========+
|  001/050| -0.0981|  0.1031|  0.0308|  0.1031|  0.0365| -0.1172|  0.1039|  0.0320|  0.1039|  0.0303|
|  002/050| -0.1270|  0.1444|  0.0463|  0.1444|  0.0508| -0.1359|  0.1429|  0.0276|  0.1429|  0.0462|
|  003/050| -0.1383|  0.1531|  0.0447|  0.1531|  0.0675| -0.1599|  0.1688|  0.0514|  0.1688|  0.0776|
|  004/050| -0.1606|  0.1824|  0.0754|  0.1824|  0.0914| -0.1691|  0.1991|  0.1192|  0.1991|  0.1226|
|  005/050| -0.1709|  0.1933|  0.1067|  0.1933|  0.1120| -0.1783|  0.2035|  0.0867|  0.2035|  0.1099|
|  006/050| -0.1807|  0.2020|  0.1143|  0.2020|  0.1211| -0.1783|  0.1948|  0.1858|  0.1948|  0.1080|
|  007/050| -0.1885|  0.2063|  0.0896|  0.2063|  0.1206| -0.1810|  0.2121|  0.2139|  0.2121|  0.1364|
|  008/050| -0.1939|  0.2139|  0.1162|  0.2139|  0.1393| -0.1894|  0.2165|  0.1306|  0.2165|  0.1304|
|  009/050| -0.2003|  0.2150|  0.1258|  0.2150|  0.1436| -0.1917|  0.2165|  0.0979|  0.2165|  0.1244|
|  010/050| -0.2112|  0.2400|  0.1618|  0.2400|  0.1730| -0.1942|  0.2165|  0.1275|  0.2165|  0.1538|
|  011/050| -0.2286|  0.2606|  0.1664|  0.2606|  0.1974| -0.1904|  0.2035|  0.2259|  0.2035|  0.1493|
|  012/050| -0.2099|  0.2313|  0.1597|  0.2313|  0.1628| -0.1909|  0.1905|  0.0891|  0.1905|  0.1147|
|  013/050| -0.2248|  0.2486|  0.1543|  0.2486|  0.1826| -0.1914|  0.1991|  0.1014|  0.1991|  0.1210|
|  014/050| -0.2269|  0.2573|  0.1813|  0.2573|  0.1855| -0.2054|  0.2294|  0.1378|  0.2294|  0.1559|
|  015/050| -0.2466|  0.2888|  0.1934|  0.2888|  0.2176| -0.2003|  0.2121|  0.1218|  0.2121|  0.1489|
|  016/050| -0.2478|  0.2812|  0.1814|  0.2812|  0.2117| -0.1936|  0.2165|  0.1454|  0.2165|  0.1449|
|  017/050| -0.2468|  0.2780|  0.1696|  0.2780|  0.2059| -0.2008|  0.1905|  0.1335|  0.1905|  0.1349|
|  018/050| -0.2578|  0.2899|  0.1836|  0.2899|  0.2176| -0.2001|  0.2078|  0.1341|  0.2078|  0.1477|
|  019/050| -0.2541|  0.2899|  0.1913|  0.2899|  0.2173| -0.2100|  0.2381|  0.1510|  0.2381|  0.1657|
|  020/050| -0.2639|  0.2888|  0.1808|  0.2888|  0.2150| -0.2087|  0.1991|  0.1254|  0.1991|  0.1431|
|  021/050| -0.2676|  0.3040|  0.2009|  0.3040|  0.2296| -0.2064|  0.2121|  0.1262|  0.2121|  0.1483|
|  022/050| -0.2716|  0.3116|  0.1973|  0.3116|  0.2334| -0.2043|  0.2165|  0.1384|  0.2165|  0.1578|
|  023/050| -0.2759|  0.3073|  0.1994|  0.3073|  0.2307| -0.2143|  0.2165|  0.1303|  0.2165|  0.1549|
|  024/050| -0.2788|  0.3149|  0.2018|  0.3149|  0.2375| -0.2114|  0.2121|  0.1279|  0.2121|  0.1531|
|  025/050| -0.2824|  0.3138|  0.2030|  0.3138|  0.2361| -0.1972|  0.1905|  0.1118|  0.1905|  0.1372|
|  026/050| -0.2851|  0.3236|  0.2047|  0.3236|  0.2434| -0.2016|  0.1948|  0.1254|  0.1948|  0.1459|
|  027/050| -0.2856|  0.3236|  0.2062|  0.3236|  0.2428| -0.2135|  0.2294|  0.1322|  0.2294|  0.1572|
|  028/050| -0.2849|  0.3246|  0.2083|  0.3246|  0.2437| -0.2040|  0.1991|  0.1383|  0.1991|  0.1485|
+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+

######################################################################################################################
#                                                    TEST RESULTS                                                    #
######################################################################################################################
# LOSS      : -0.2136                                                                                                #
# ACCURACY  : 0.2396                                                                                                 #
# PRECISION : 0.1396                                                                                                 #
# RECALL    : 0.2396                                                                                                 #
# F1        : 0.1691                                                                                                 #
# CONFUSION MATRIX:                                                                                                  #
# [[ 0  9 11  0  3  0  1  5  0  0]                                                                                   #
#  [ 0 21  2  0  4  1  0  1  0  0]                                                                                   #
#  [ 0  3 15  0  1  4  1  5  0  0]                                                                                   #
#  [ 0  7  9  0  3  5  2  3  0  0]                                                                                   #
#  [ 0  4 11  0  7  1  2  3  0  0]                                                                                   #
