Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.316347077;0.1378935939;0.1434300668;0.1378935939;0.1251030532;2.255025593;0.1471861472;0.0913182361;0.1471861472;0.08625268582
2;2.241815148;0.1509229099;0.1455089763;0.1509229099;0.1333553624;2.21026988;0.1645021645;0.1183581818;0.1645021645;0.1139734701
3;2.199363854;0.1867535288;0.1660389038;0.1867535288;0.1627541459;2.176734463;0.2207792208;0.1430978392;0.2207792208;0.1561709489
4;2.171035709;0.1997828447;0.1924405768;0.1997828447;0.1775952924;2.174904124;0.1818181818;0.1845885449;0.1818181818;0.1114981896
5;2.153227247;0.1921824104;0.161433344;0.1921824104;0.1595968022;2.13509651;0.2294372294;0.2784042534;0.2294372294;0.1629611336
6;2.130336124;0.2193268187;0.2030305053;0.2193268187;0.1926531281;2.126246794;0.2424242424;0.1684239528;0.2424242424;0.1645764094
7;2.115294136;0.2084690554;0.1975571247;0.2084690554;0.1848390776;2.108463685;0.2034632035;0.3324491302;0.2034632035;0.1660594476
8;2.109814424;0.207383279;0.1844327509;0.207383279;0.1891035717;2.109887171;0.2467532468;0.2181187536;0.2467532468;0.20488499
9;2.094168143;0.2345276873;0.2130968921;0.2345276873;0.2097202162;2.102441549;0.2424242424;0.1957365606;0.2424242424;0.1754952508
10;2.073911946;0.2290988056;0.2121937922;0.2290988056;0.2043486303;2.109856796;0.2337662338;0.2517731829;0.2337662338;0.2061467163
11;2.079771858;0.2464712269;0.2497789331;0.2464712269;0.2311179127;2.088596908;0.2294372294;0.1314333579;0.2294372294;0.1569565098
12;2.036412732;0.2432138979;0.2289895768;0.2432138979;0.222623871;2.061210124;0.2380952381;0.1973285436;0.2380952381;0.2025352328
13;2.054607693;0.2584147666;0.2469410553;0.2584147666;0.2407855814;2.077992423;0.2467532468;0.223185548;0.2467532468;0.2056417704
14;2.008907542;0.2725298588;0.2541361514;0.2725298588;0.2560292563;2.039009476;0.2251082251;0.1803278582;0.2251082251;0.1747483577
15;1.993058209;0.2703583062;0.2559145423;0.2703583062;0.2515772995;2.055265546;0.2424242424;0.2004748878;0.2424242424;0.214867336
16;1.978692443;0.2540716612;0.2403903407;0.2540716612;0.2367324566;2.065159249;0.2077922078;0.1978967681;0.2077922078;0.1823416702
17;1.971669433;0.2899022801;0.283549549;0.2899022801;0.2790385964;2.083481606;0.2207792208;0.1902201802;0.2207792208;0.191105337
18;1.963326444;0.2823018458;0.2764695114;0.2823018458;0.2700941407;2.071394849;0.2294372294;0.2093380882;0.2294372294;0.176665629
19;1.941942832;0.3018458198;0.2877897529;0.3018458198;0.2835881788;2.038198074;0.2294372294;0.2203059197;0.2294372294;0.2110736957
20;1.934574174;0.3083604777;0.3021955231;0.3083604777;0.2931476297;2.03467718;0.2251082251;0.1789520775;0.2251082251;0.1940101241
21;1.922459726;0.2877307275;0.2746044724;0.2877307275;0.2748912339;2.036061819;0.2380952381;0.2129609326;0.2380952381;0.2130282651
22;1.916887366;0.2942453855;0.2962717045;0.2942453855;0.2769584443;2.055270147;0.2554112554;0.2385308578;0.2554112554;0.2098841202
23;1.937125724;0.2920738328;0.2938960661;0.2920738328;0.281691296;2.036481897;0.2554112554;0.257085205;0.2554112554;0.2357349066
24;1.901480876;0.2985884908;0.2975854916;0.2985884908;0.2918051011;2.040505743;0.2554112554;0.2790848401;0.2554112554;0.2250842683
25;1.902748951;0.2801302932;0.2715786017;0.2801302932;0.2631335742;2.02596523;0.2510822511;0.2334124329;0.2510822511;0.2179634622
26;1.885302219;0.3072747014;0.2983955678;0.3072747014;0.2940257174;2.026643689;0.2813852814;0.3006182562;0.2813852814;0.2572942105
27;1.888514726;0.3007600434;0.292617272;0.3007600434;0.2877324575;2.045724932;0.2380952381;0.25416995;0.2380952381;0.2343183062
28;1.84120133;0.328990228;0.3274057607;0.328990228;0.3206468416;2.053210409;0.2294372294;0.2178107765;0.2294372294;0.2029286776
29;1.822568963;0.3300760043;0.323754931;0.3300760043;0.3212745583;2.042423058;0.2683982684;0.2816572317;0.2683982684;0.2356306483
30;1.803123678;0.3333333333;0.3230769855;0.3333333333;0.3220151242;2.076550118;0.2380952381;0.2603901892;0.2380952381;0.2295521202
