Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.30274539;0.102062975;0.04333262292;0.102062975;0.05029297732;2.284685194;0.1774891775;0.07539164449;0.1774891775;0.1039571918
2;2.231512054;0.1758957655;0.1287818534;0.1758957655;0.1250291863;2.18393451;0.2164502165;0.104426859;0.2164502165;0.1228112024
3;2.083016666;0.2388707926;0.3141053788;0.2388707926;0.1692552135;2.082156241;0.2121212121;0.2372192966;0.2121212121;0.1752895101
4;1.99086295;0.2529858849;0.2438902411;0.2529858849;0.2171959006;2.060407162;0.2251082251;0.207419246;0.2251082251;0.1763064607
5;1.934426133;0.2964169381;0.2945372056;0.2964169381;0.2770531211;1.98447293;0.29004329;0.2920544102;0.29004329;0.2483064649
6;1.891784875;0.335504886;0.3298799351;0.335504886;0.3167304739;1.898670256;0.3463203463;0.3365260396;0.3463203463;0.3302402382
7;1.809472505;0.3767643865;0.376005959;0.3767643865;0.3621282694;1.89462617;0.3333333333;0.3814646016;0.3333333333;0.2836902533
8;1.737461034;0.3930510315;0.3906813336;0.3930510315;0.383052484;1.843015343;0.3506493506;0.3522257409;0.3506493506;0.3231867018
9;1.71599621;0.3897937025;0.3847562885;0.3897937025;0.3799976931;1.847211719;0.3333333333;0.3590759568;0.3333333333;0.3094736182
10;1.644124023;0.4201954397;0.4213218169;0.4201954397;0.4082339824;1.790315628;0.329004329;0.3732239215;0.329004329;0.332214091
11;1.599641148;0.4419109663;0.4412244909;0.4419109663;0.4323639601;1.754319221;0.3722943723;0.4159845185;0.3722943723;0.364215751
12;1.571037245;0.437567861;0.4362284392;0.437567861;0.4346748668;1.749462217;0.3766233766;0.4603216021;0.3766233766;0.3491121837
13;1.513262876;0.4744842562;0.4835091867;0.4744842562;0.4683807561;1.702129215;0.3852813853;0.3869066693;0.3852813853;0.3776755388
14;1.495430589;0.4690553746;0.4732333331;0.4690553746;0.4635854168;1.688762248;0.4069264069;0.4274214202;0.4069264069;0.4055483245
15;1.465639035;0.4788273616;0.4795518341;0.4788273616;0.475423909;1.739365637;0.3722943723;0.4668031135;0.3722943723;0.3487166008
16;1.471225723;0.4733984799;0.4784477268;0.4733984799;0.4710304394;1.757040113;0.3896103896;0.4821022747;0.3896103896;0.3941335756
17;1.41394488;0.5027144408;0.5044097662;0.5027144408;0.4973523098;1.682910413;0.4199134199;0.4398175365;0.4199134199;0.4079804434
18;1.392954969;0.5048859935;0.5053410462;0.5048859935;0.5003466213;1.791481078;0.3896103896;0.4661313194;0.3896103896;0.3960403335
19;1.366211136;0.5016286645;0.5015252586;0.5016286645;0.4985962285;1.684228331;0.4242424242;0.4352535696;0.4242424242;0.4155261659
20;1.340974482;0.539630836;0.5372423501;0.539630836;0.535840366;1.69200924;0.4502164502;0.4812221423;0.4502164502;0.4413807162
21;1.299862838;0.5244299674;0.5247420307;0.5244299674;0.5234372736;1.639036715;0.4329004329;0.4569013936;0.4329004329;0.4183515193
22;1.268732317;0.5483170467;0.5521861748;0.5483170467;0.544430755;1.668904483;0.4155844156;0.4391970148;0.4155844156;0.4122269615
23;1.241787799;0.5678610206;0.5696652913;0.5678610206;0.5671043895;1.719474524;0.4025974026;0.4477332754;0.4025974026;0.3907607875
24;1.214974574;0.5635179153;0.5614893357;0.5635179153;0.5607163159;1.661839068;0.4112554113;0.4506004645;0.4112554113;0.4119550828
25;1.164838429;0.5928338762;0.5919124537;0.5928338762;0.5906797678;1.692749828;0.4242424242;0.4693878902;0.4242424242;0.4196319985
26;1.150264064;0.6145494028;0.6177495986;0.6145494028;0.6131503266;1.713220596;0.4025974026;0.4344463148;0.4025974026;0.3987884626
