Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;-0.1003106346;0.09229098806;0.04154477093;0.09229098806;0.04206119533;-0.09619628749;0.09956709957;0.009913607316;0.09956709957;0.01803183693
2;-0.1021075365;0.09989142237;0.009989142237;0.09989142237;0.01816207679;-0.1056045507;0.09956709957;0.01720629601;0.09956709957;0.02363597364
3;-0.1324231745;0.1292073833;0.03265135125;0.1292073833;0.04589125364;-0.1306169134;0.1298701299;0.0258211574;0.1298701299;0.04307652723
4;-0.1458763826;0.1454940282;0.04175203181;0.1454940282;0.06100547667;-0.1413268884;0.1558441558;0.04406866431;0.1558441558;0.06300339519
5;-0.159081886;0.1574375679;0.0322492154;0.1574375679;0.05329976489;-0.1470225651;0.1515151515;0.03267843268;0.1515151515;0.05272935555
6;-0.1636833375;0.1672095548;0.04681992244;0.1672095548;0.06334868659;-0.150470791;0.1601731602;0.03550583806;0.1601731602;0.05674664831
7;-0.1550180648;0.1530944625;0.03426003081;0.1530944625;0.05453042752;-0.1449033704;0.1515151515;0.03169940454;0.1515151515;0.05188923138
8;-0.159249236;0.1606948969;0.03198531303;0.1606948969;0.05332698568;-0.1536786138;0.1601731602;0.03674500103;0.1601731602;0.05766963261
9;-0.1632989746;0.1661237785;0.03498334215;0.1661237785;0.05716808207;-0.1379739664;0.1471861472;0.02955404384;0.1471861472;0.04916752012
10;-0.177451834;0.1813246471;0.03825989343;0.1813246471;0.06268977518;-0.1399514368;0.1471861472;0.02987012987;0.1471861472;0.04946052069
11;-0.1779387206;0.1758957655;0.03726776451;0.1758957655;0.06093966704;-0.1431353166;0.1515151515;0.0311176609;0.1515151515;0.05126641831
12;-0.1765985833;0.1780673181;0.03724438915;0.1780673181;0.06120819463;-0.1495828994;0.1558441558;0.03362005959;0.1558441558;0.05436251131
13;-0.1776778609;0.1791530945;0.03769393636;0.1791530945;0.06179187476;-0.1467970388;0.1515151515;0.03183437877;0.1515151515;0.0520332517
