Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.289716768;0.1107491857;0.06098889334;0.1107491857;0.05152400712;2.253516853;0.1558441558;0.03171318682;0.1558441558;0.05266479552
2;2.211720276;0.2844733985;0.3334627616;0.2844733985;0.2045754035;2.137023687;0.303030303;0.2526642316;0.303030303;0.2210110019
3;2.028191988;0.3561346363;0.5360030192;0.3561346363;0.2980189516;1.844418824;0.5324675325;0.6856083524;0.5324675325;0.5037079575
4;1.636311611;0.5819761129;0.6197785765;0.5819761129;0.5728462996;1.38162607;0.632034632;0.6822537314;0.632034632;0.623283382
5;1.194732531;0.6872964169;0.6894938539;0.6872964169;0.6829595583;1.003879771;0.7186147186;0.763558409;0.7186147186;0.7192175976
6;0.8755693833;0.7307274701;0.7350271562;0.7307274701;0.730279986;0.8251675218;0.7359307359;0.7538817444;0.7359307359;0.7289276939
7;0.7578074654;0.7774158523;0.7791913624;0.7774158523;0.7768262877;0.6775995642;0.8095238095;0.8303763498;0.8095238095;0.8060742651
8;0.6554433604;0.7958740499;0.7971353815;0.7958740499;0.7952325249;0.6448422372;0.7792207792;0.8144362432;0.7792207792;0.7807407528
9;0.54701159;0.8230184582;0.8283093338;0.8230184582;0.8241731403;0.5532331988;0.8311688312;0.8456741516;0.8311688312;0.8300266366
10;0.4891154528;0.8577633008;0.8585359795;0.8577633008;0.8574173743;0.5439470857;0.8311688312;0.8588776538;0.8311688312;0.8251519823
11;0.4550146232;0.8534201954;0.8548872763;0.8534201954;0.8532358523;0.456095539;0.8831168831;0.8893498991;0.8831168831;0.8834762107
12;0.3907238146;0.878393051;0.8784322722;0.878393051;0.8778044269;0.4431338236;0.8571428571;0.8789552472;0.8571428571;0.8606751046
13;0.3777633051;0.8903365907;0.8915063147;0.8903365907;0.8897242663;0.4489157498;0.8614718615;0.8700763004;0.8614718615;0.8626570217
14;0.3297128787;0.9087947883;0.9102631478;0.9087947883;0.9090498149;0.3858416229;0.8701298701;0.8824949334;0.8701298701;0.8714695611
15;0.3154535403;0.9218241042;0.9226282246;0.9218241042;0.9218835163;0.3771215901;0.8701298701;0.8820426056;0.8701298701;0.8701465878
16;0.2846765439;0.9196525516;0.9204110718;0.9196525516;0.9193706781;0.3882739246;0.8831168831;0.8898451681;0.8831168831;0.8818276434
17;0.2772899896;0.9250814332;0.9249982283;0.9250814332;0.9248828013;0.3542673513;0.8831168831;0.8885234672;0.8831168831;0.8831857638
18;0.2515942693;0.9261672096;0.9268421712;0.9261672096;0.9260466123;0.351366587;0.8961038961;0.9010201886;0.8961038961;0.8945546868
19;0.2633331676;0.9196525516;0.9195016796;0.9196525516;0.9194288321;0.3436795548;0.9004329004;0.9050495969;0.9004329004;0.8995308505
20;0.2397250796;0.9381107492;0.9381344086;0.9381107492;0.9379623427;0.3406809941;0.9004329004;0.9071909131;0.9004329004;0.9018591687
21;0.232264623;0.9370249729;0.9373401004;0.9370249729;0.9370545036;0.3244546801;0.8874458874;0.894368442;0.8874458874;0.8870217791
22;0.2151605373;0.9500542888;0.9503400169;0.9500542888;0.9501146091;0.3131820522;0.9004329004;0.9032640133;0.9004329004;0.8989512853
23;0.1982436543;0.9467969598;0.9475183979;0.9467969598;0.9468888633;0.3004903086;0.9264069264;0.9275491256;0.9264069264;0.925491151
24;0.1792469487;0.9543973941;0.9545872022;0.9543973941;0.954390457;0.3144661598;0.9090909091;0.9122551426;0.9090909091;0.9076761884
25;0.1825151828;0.9457111835;0.9461288479;0.9457111835;0.945652348;0.3082086891;0.9090909091;0.9110775088;0.9090909091;0.9085529688
26;0.1612996245;0.9609120521;0.9610116047;0.9609120521;0.9608245168;0.2778582647;0.9047619048;0.9068214902;0.9047619048;0.9047712702
27;0.1477106015;0.9598262758;0.9600298873;0.9598262758;0.9598161489;0.2938031554;0.8961038961;0.8985298362;0.8961038961;0.8944438911
28;0.1470994006;0.9587404995;0.9590354777;0.9587404995;0.9587763699;0.2692283653;0.9090909091;0.9122612308;0.9090909091;0.9092576771
29;0.1389351954;0.9674267101;0.9679172659;0.9674267101;0.967490264;0.2959395759;0.9090909091;0.9107593057;0.9090909091;0.907959045
30;0.1443740964;0.9652551574;0.9656185953;0.9652551574;0.9652444766;0.2924526259;0.9004329004;0.9021075014;0.9004329004;0.8996293346
31;0.1332517654;0.9674267101;0.9673818549;0.9674267101;0.96734135;0.2685892805;0.9264069264;0.9280955765;0.9264069264;0.9262338465
32;0.1320969383;0.9663409338;0.9666168742;0.9663409338;0.9663548294;0.3067388125;0.8831168831;0.89542097;0.8831168831;0.8839396326
33;0.1227171282;0.9641693811;0.9644456035;0.9641693811;0.9641952436;0.2872690223;0.9220779221;0.9257195618;0.9220779221;0.9221342943
34;0.125533324;0.9641693811;0.9645696526;0.9641693811;0.9641834221;0.2960627116;0.9090909091;0.9143448375;0.9090909091;0.9093582458
35;0.1193239195;0.9641693811;0.9643431741;0.9641693811;0.9640393429;0.2889461331;0.8961038961;0.9060882768;0.8961038961;0.8971891686
36;0.1050632007;0.9717698154;0.9719903722;0.9717698154;0.9717533872;0.309553422;0.8917748918;0.9111853514;0.8917748918;0.8949182799
