######################################################################################################################
#                                            EXPERIMENTAL PROTOCOL REPORT                                            #
######################################################################################################################
# DATE      : 05-05-2026                                                                                             #
# TIME      : 10-40                                                                                                  #
# DATASET   : MNIST digits stratified                                                                                #
# CLASSIFIER: DenseBaseline                                                                                          #
# SUBSET    : 5/5                                                                                                    #
# SPLITS    : train=921, val=231, test=288                                                                           #
# TRAINING  : epochs=50, batch_size=16, lr=0.0010, device=cpu                                                        #
# MODEL     : num_classes=10                                                                                         #
# TORCHINFO SUMMARY:                                                                                                 #
# =================================================================                                                  #
# Layer (type:depth-idx)                   Param #                                                                   #
# =================================================================                                                  #
# DenseBaseline                            --                                                                        #
# ├─Flatten: 1-1                           --                                                                        #
# ├─Linear: 1-2                            2,570                                                                     #
# =================================================================                                                  #
# Total params: 2,570                                                                                                #
# Trainable params: 2,570                                                                                            #
# Non-trainable params: 0                                                                                            #
# =================================================================                                                  #
######################################################################################################################

+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|  Epoch  | TrLoss | TrAcc  | TrPrec | TrRec  |  TrF1  | VaLoss | VaAcc  | VaPrec | VaRec  |  VaF1  |
+=========+========+========+========+========+========+========+========+========+========+========+
|  001/050|  2.1171|  0.4148|  0.5202|  0.4148|  0.4051|  1.9309|  0.6364|  0.7058|  0.6364|  0.6370|
|  002/050|  1.7484|  0.7394|  0.7746|  0.7394|  0.7328|  1.6496|  0.7143|  0.7454|  0.7143|  0.7067|
|  003/050|  1.4798|  0.8089|  0.8166|  0.8089|  0.8036|  1.4393|  0.7619|  0.7775|  0.7619|  0.7625|
|  004/050|  1.2847|  0.8176|  0.8254|  0.8176|  0.8131|  1.2830|  0.8009|  0.8185|  0.8009|  0.8043|
|  005/050|  1.1364|  0.8274|  0.8318|  0.8274|  0.8234|  1.1664|  0.8052|  0.8237|  0.8052|  0.8086|
|  006/050|  1.0209|  0.8415|  0.8472|  0.8415|  0.8392|  1.0747|  0.8139|  0.8305|  0.8139|  0.8172|
|  007/050|  0.9376|  0.8447|  0.8488|  0.8447|  0.8430|  0.9999|  0.8095|  0.8293|  0.8095|  0.8133|
|  008/050|  0.8659|  0.8502|  0.8556|  0.8502|  0.8486|  0.9412|  0.8225|  0.8318|  0.8225|  0.8241|
|  009/050|  0.8084|  0.8491|  0.8522|  0.8491|  0.8478|  0.8912|  0.8312|  0.8428|  0.8312|  0.8337|
|  010/050|  0.7595|  0.8567|  0.8598|  0.8567|  0.8557|  0.8492|  0.8355|  0.8395|  0.8355|  0.8362|
|  011/050|  0.7183|  0.8588|  0.8629|  0.8588|  0.8579|  0.8130|  0.8442|  0.8467|  0.8442|  0.8447|
|  012/050|  0.6853|  0.8643|  0.8674|  0.8643|  0.8638|  0.7801|  0.8442|  0.8466|  0.8442|  0.8442|
|  013/050|  0.6539|  0.8643|  0.8662|  0.8643|  0.8634|  0.7540|  0.8355|  0.8393|  0.8355|  0.8356|
|  014/050|  0.6280|  0.8697|  0.8721|  0.8697|  0.8690|  0.7298|  0.8485|  0.8504|  0.8485|  0.8486|
|  015/050|  0.6043|  0.8686|  0.8723|  0.8686|  0.8679|  0.7068|  0.8442|  0.8451|  0.8442|  0.8439|
|  016/050|  0.5848|  0.8708|  0.8729|  0.8708|  0.8701|  0.6886|  0.8485|  0.8503|  0.8485|  0.8483|
|  017/050|  0.5651|  0.8719|  0.8737|  0.8719|  0.8715|  0.6721|  0.8485|  0.8511|  0.8485|  0.8483|
|  018/050|  0.5484|  0.8719|  0.8746|  0.8719|  0.8715|  0.6553|  0.8485|  0.8514|  0.8485|  0.8483|
|  019/050|  0.5300|  0.8730|  0.8750|  0.8730|  0.8723|  0.6404|  0.8485|  0.8515|  0.8485|  0.8483|
|  020/050|  0.5190|  0.8740|  0.8764|  0.8740|  0.8736|  0.6280|  0.8485|  0.8511|  0.8485|  0.8479|
|  021/050|  0.5045|  0.8730|  0.8745|  0.8730|  0.8723|  0.6122|  0.8528|  0.8553|  0.8528|  0.8523|
|  022/050|  0.4888|  0.8827|  0.8840|  0.8827|  0.8823|  0.6033|  0.8485|  0.8508|  0.8485|  0.8478|
|  023/050|  0.4798|  0.8827|  0.8842|  0.8827|  0.8824|  0.5915|  0.8442|  0.8466|  0.8442|  0.8434|
|  024/050|  0.4682|  0.8817|  0.8823|  0.8817|  0.8811|  0.5833|  0.8485|  0.8508|  0.8485|  0.8478|
|  025/050|  0.4601|  0.8806|  0.8813|  0.8806|  0.8802|  0.5728|  0.8485|  0.8508|  0.8485|  0.8478|
|  026/050|  0.4491|  0.8860|  0.8870|  0.8860|  0.8856|  0.5669|  0.8485|  0.8509|  0.8485|  0.8479|
|  027/050|  0.4410|  0.8871|  0.8883|  0.8871|  0.8867|  0.5565|  0.8485|  0.8509|  0.8485|  0.8479|
|  028/050|  0.4318|  0.8893|  0.8897|  0.8893|  0.8888|  0.5483|  0.8528|  0.8551|  0.8528|  0.8522|
|  029/050|  0.4235|  0.8903|  0.8911|  0.8903|  0.8900|  0.5427|  0.8528|  0.8551|  0.8528|  0.8522|
|  030/050|  0.4143|  0.8979|  0.8998|  0.8979|  0.8978|  0.5357|  0.8528|  0.8552|  0.8528|  0.8519|
|  031/050|  0.4095|  0.8969|  0.8983|  0.8969|  0.8968|  0.5313|  0.8485|  0.8509|  0.8485|  0.8479|
|  032/050|  0.4034|  0.9001|  0.9016|  0.9001|  0.9000|  0.5244|  0.8528|  0.8552|  0.8528|  0.8519|
|  033/050|  0.3967|  0.9001|  0.9023|  0.9001|  0.9002|  0.5190|  0.8528|  0.8552|  0.8528|  0.8519|
|  034/050|  0.3893|  0.9034|  0.9042|  0.9034|  0.9032|  0.5131|  0.8528|  0.8552|  0.8528|  0.8519|
|  035/050|  0.3847|  0.9023|  0.9036|  0.9023|  0.9022|  0.5085|  0.8485|  0.8509|  0.8485|  0.8479|
|  036/050|  0.3803|  0.9077|  0.9090|  0.9077|  0.9076|  0.5041|  0.8571|  0.8605|  0.8571|  0.8565|
|  037/050|  0.3717|  0.9045|  0.9060|  0.9045|  0.9044|  0.4988|  0.8485|  0.8509|  0.8485|  0.8479|
|  038/050|  0.3674|  0.9088|  0.9099|  0.9088|  0.9087|  0.4961|  0.8615|  0.8652|  0.8615|  0.8611|
|  039/050|  0.3634|  0.9088|  0.9101|  0.9088|  0.9088|  0.4923|  0.8571|  0.8598|  0.8571|  0.8565|
|  040/050|  0.3556|  0.9121|  0.9133|  0.9121|  0.9120|  0.4876|  0.8571|  0.8614|  0.8571|  0.8572|
|  041/050|  0.3517|  0.9099|  0.9107|  0.9099|  0.9097|  0.4840|  0.8615|  0.8652|  0.8615|  0.8611|
|  042/050|  0.3461|  0.9153|  0.9159|  0.9153|  0.9151|  0.4819|  0.8615|  0.8662|  0.8615|  0.8609|
|  043/050|  0.3434|  0.9142|  0.9155|  0.9142|  0.9142|  0.4766|  0.8528|  0.8574|  0.8528|  0.8526|
|  044/050|  0.3418|  0.9121|  0.9130|  0.9121|  0.9119|  0.4747|  0.8528|  0.8582|  0.8528|  0.8528|
|  045/050|  0.3332|  0.9164|  0.9174|  0.9164|  0.9163|  0.4732|  0.8658|  0.8696|  0.8658|  0.8653|
|  046/050|  0.3289|  0.9175|  0.9188|  0.9175|  0.9174|  0.4685|  0.8701|  0.8726|  0.8701|  0.8695|
|  047/050|  0.3289|  0.9153|  0.9160|  0.9153|  0.9151|  0.4661|  0.8528|  0.8565|  0.8528|  0.8524|
|  048/050|  0.3223|  0.9153|  0.9166|  0.9153|  0.9152|  0.4638|  0.8701|  0.8712|  0.8701|  0.8693|
|  049/050|  0.3179|  0.9153|  0.9160|  0.9153|  0.9151|  0.4601|  0.8701|  0.8716|  0.8701|  0.8696|
|  050/050|  0.3195|  0.9186|  0.9199|  0.9186|  0.9185|  0.4604|  0.8701|  0.8738|  0.8701|  0.8694|
+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+

######################################################################################################################
#                                                    TEST RESULTS                                                    #
######################################################################################################################
# LOSS      : 0.4177                                                                                                 #
# ACCURACY  : 0.8993                                                                                                 #
# PRECISION : 0.9002                                                                                                 #
# RECALL    : 0.8993                                                                                                 #
# F1        : 0.8986                                                                                                 #
# CONFUSION MATRIX:                                                                                                  #
# [[26  0  0  0  1  0  1  0  1  0]                                                                                   #
#  [ 0 29  0  0  0  0  0  0  0  0]                                                                                   #
