Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.311177089;0.2399565689;0.2302709159;0.2399565689;0.2333628657;2.017995449;0.2770562771;0.2591896561;0.2770562771;0.2371512769
2;1.945861779;0.342019544;0.3345120751;0.342019544;0.3365805453;1.78317428;0.3593073593;0.3766855006;0.3593073593;0.3329743327
3;1.898640883;0.3691639522;0.36522817;0.3691639522;0.3654024545;1.831008617;0.303030303;0.391620166;0.303030303;0.2932618901
4;1.860743052;0.3745928339;0.3695138163;0.3745928339;0.3703071467;1.746044636;0.3896103896;0.37123162;0.3896103896;0.354774642
5;1.800673538;0.4104234528;0.4046544605;0.4104234528;0.4068763313;1.697962399;0.3896103896;0.3900442516;0.3896103896;0.3768379155
6;1.809745739;0.3854505972;0.3776171338;0.3854505972;0.3790540199;1.660318732;0.4155844156;0.4314001605;0.4155844156;0.3954549331
7;1.756982575;0.4212812161;0.4105552817;0.4212812161;0.4124664403;1.812691597;0.3463203463;0.3519184135;0.3463203463;0.3176075706
8;1.757736323;0.3973941368;0.3968129657;0.3973941368;0.3966816994;1.63869547;0.4025974026;0.4801272766;0.4025974026;0.3813754756
9;1.708061257;0.4288816504;0.4160508359;0.4288816504;0.4189853283;1.656934536;0.4069264069;0.4286101272;0.4069264069;0.3946982362
10;1.787903448;0.4060803474;0.4037439569;0.4060803474;0.4028822801;1.6951121;0.367965368;0.4253291656;0.367965368;0.3628322593
11;1.686359406;0.44082519;0.4304104766;0.44082519;0.4337373849;1.648087327;0.4025974026;0.3560292831;0.4025974026;0.3706072404
12;1.719122198;0.4212812161;0.4164469409;0.4212812161;0.4174114978;1.64615103;0.4069264069;0.4248924761;0.4069264069;0.3786612204
13;1.749069489;0.4267100977;0.421966234;0.4267100977;0.4233903;1.618238944;0.3939393939;0.4504988817;0.3939393939;0.3927744411
14;1.735499485;0.4234527687;0.4136334758;0.4234527687;0.4166050922;1.548887396;0.4155844156;0.418640018;0.4155844156;0.4054314495
15;1.777084155;0.4125950054;0.4096018627;0.4125950054;0.4098757094;1.655144159;0.3852813853;0.4541911568;0.3852813853;0.3682618288
16;1.773366778;0.4234527687;0.4181913284;0.4234527687;0.4186424719;1.728772193;0.3506493506;0.4650058915;0.3506493506;0.3440896008
17;1.714236813;0.4299674267;0.4207351535;0.4299674267;0.4239910066;1.789048328;0.3333333333;0.4368798209;0.3333333333;0.325366943
18;1.729006424;0.431053203;0.4199438347;0.431053203;0.4228883572;1.71118927;0.4199134199;0.5306832392;0.4199134199;0.4280874436
19;1.717504695;0.4321389794;0.4244850879;0.4321389794;0.4264097465;1.735780438;0.3376623377;0.368268112;0.3376623377;0.31623099
