Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.282983167;0.1856677524;0.332574538;0.1856677524;0.1600976274;2.218487469;0.5367965368;0.4012817802;0.5367965368;0.4441853739
2;2.145773345;0.55917481;0.52228328;0.55917481;0.5145292409;2.048525476;0.5844155844;0.6025438963;0.5844155844;0.5322905553
3;1.963320448;0.5928338762;0.6055274991;0.5928338762;0.5584551819;1.868208901;0.658008658;0.5320748654;0.658008658;0.5770950972
4;1.778620227;0.6091205212;0.633966144;0.6091205212;0.5755083542;1.69200116;0.670995671;0.6059645213;0.670995671;0.6052988469
5;1.609815345;0.6796959826;0.6747186382;0.6796959826;0.6435565933;1.551017992;0.7142857143;0.7103592146;0.7142857143;0.6851907286
6;1.464243827;0.6862106406;0.6792601536;0.6862106406;0.6538796195;1.481484294;0.683982684;0.7377745175;0.683982684;0.6497466392
7;1.328736657;0.7524429967;0.7501634024;0.7524429967;0.7317126028;1.301031788;0.8051948052;0.8193538488;0.8051948052;0.8009883898
8;1.197085561;0.8197611292;0.8238873796;0.8197611292;0.8091757905;1.196946843;0.7835497835;0.7807331789;0.7835497835;0.7660964431
9;1.069250913;0.8773072747;0.8798244246;0.8773072747;0.8743106732;1.101927988;0.8528138528;0.8572556224;0.8528138528;0.8488171741
10;0.9604983309;0.9120521173;0.9132695804;0.9120521173;0.9108980184;1.004766679;0.8831168831;0.8828897878;0.8831168831;0.8786959156
11;0.8572997297;0.9326818675;0.9331359671;0.9326818675;0.9320403425;0.9308660269;0.8528138528;0.8518472268;0.8528138528;0.8481990158
12;0.7659237405;0.9424538545;0.9430080625;0.9424538545;0.942179904;0.8718358954;0.8441558442;0.8453883779;0.8441558442;0.8410065237
13;0.6803300597;0.9533116178;0.9531498755;0.9533116178;0.9530731264;0.8143358548;0.8874458874;0.8909652805;0.8874458874;0.8856218795
14;0.589375759;0.9761129207;0.9762335543;0.9761129207;0.9760801754;0.7736688256;0.8658008658;0.8710614802;0.8658008658;0.8637871343
15;0.5345344235;0.9761129207;0.976171169;0.9761129207;0.9760684791;0.6857710183;0.9004329004;0.90408291;0.9004329004;0.8992849636
16;0.460098485;0.9771986971;0.9775772564;0.9771986971;0.9772728565;0.6645126422;0.8787878788;0.8842305918;0.8787878788;0.8774080125
17;0.4316221383;0.9826275787;0.9827861418;0.9826275787;0.9826134843;0.6287627677;0.9004329004;0.9076684604;0.9004329004;0.9005531076
18;0.3697824273;0.9858849077;0.9860068801;0.9858849077;0.9858228472;0.5824069599;0.8917748918;0.8926477563;0.8917748918;0.8907113339
19;0.3200145395;0.986970684;0.9871920389;0.986970684;0.9869371271;0.5319067299;0.9134199134;0.9176421611;0.9134199134;0.913194449
20;0.2738463606;0.9923995657;0.9924790325;0.9923995657;0.992392963;0.5443257789;0.8787878788;0.8848433413;0.8787878788;0.8777433656
