######################################################################################################################
#                                            EXPERIMENTAL PROTOCOL REPORT                                            #
######################################################################################################################
# DATE      : 2026-09-23                                                                                             #
# TIME      : 09-50                                                                                                  #
# DATASET   : MNIST digits stratified                                                                                #
# CLASSIFIER: CNN + ZZFeatureMap + SamplerAnsatzLayer + Dense                                                        #
# SUBSET    : 4/5                                                                                                    #
# SPLITS    : train=921, val=231, test=288                                                                           #
# TRAINING  : epochs=50, batch_size=16, device=cpu, qnn_lr=0.0010, head_lr=0.0100, dataset_id=mnist_digits,          #
#             experiment_group=baseline, model_family=quantum_without_geqie, encoding_id=zz_feature_map,             #
#             model_id=cnn_vqc_dense, quantum_layer=SamplerAnsatzLayer, shots=None, gradient_method=parameter_shift, #
#             input_gradient_method=adjoint, scale_output=False                                                      #
# MODEL     : num_classes=10, num_qubits=9, num_layers=1                                                             #
# TORCHINFO SUMMARY:                                                                                                 #
# =================================================================                                                  #
# Layer (type:depth-idx)                   Param #                                                                   #
# =================================================================                                                  #
# CNNZZVQCDenseClassifier                  --                                                                        #
# ├─Sequential: 1-1                        --                                                                        #
# │    └─Conv2d: 2-1                       160                                                                       #
# │    └─ReLU: 2-2                         --                                                                        #
# │    └─MaxPool2d: 2-3                    --                                                                        #
# │    └─Conv2d: 2-4                       4,640                                                                     #
# │    └─ReLU: 2-5                         --                                                                        #
# │    └─MaxPool2d: 2-6                    --                                                                        #
# │    └─Flatten: 2-7                      --                                                                        #
# │    └─Linear: 2-8                       4,617                                                                     #
# ├─ZZFeatureMapStatevector: 1-2           --                                                                        #
# ├─SamplerAnsatzLayer: 1-3                27                                                                        #
# ├─Linear: 1-4                            5,130                                                                     #
# ├─LogSoftmax: 1-5                        --                                                                        #
# =================================================================                                                  #
# Total params: 14,574                                                                                               #
# Trainable params: 14,574                                                                                           #
# Non-trainable params: 0                                                                                            #
# =================================================================                                                  #
######################################################################################################################

+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|  Epoch  | TrLoss | TrAcc  | TrPrec | TrRec  |  TrF1  | VaLoss | VaAcc  | VaPrec | VaRec  |  VaF1  |
+=========+========+========+========+========+========+========+========+========+========+========+
|  001/050|  2.2832|  0.1705|  0.4365|  0.1705|  0.1446|  2.2194|  0.6017|  0.7029|  0.6017|  0.5693|
|  002/050|  2.1473|  0.6254|  0.6252|  0.6254|  0.5935|  2.0814|  0.6407|  0.7432|  0.6407|  0.6120|
|  003/050|  1.9652|  0.7112|  0.7225|  0.7112|  0.6988|  1.8668|  0.7749|  0.7908|  0.7749|  0.7642|
|  004/050|  1.7588|  0.7676|  0.7829|  0.7676|  0.7581|  1.6694|  0.7792|  0.7940|  0.7792|  0.7726|
|  005/050|  1.5541|  0.8447|  0.8545|  0.8447|  0.8359|  1.4799|  0.8398|  0.8463|  0.8398|  0.8386|
|  006/050|  1.3719|  0.8925|  0.8953|  0.8925|  0.8911|  1.3389|  0.8398|  0.8507|  0.8398|  0.8392|
|  007/050|  1.2156|  0.9218|  0.9248|  0.9218|  0.9213|  1.2283|  0.8874|  0.8936|  0.8874|  0.8850|
|  008/050|  1.0490|  0.9403|  0.9414|  0.9403|  0.9401|  1.0665|  0.8745|  0.8784|  0.8745|  0.8743|
|  009/050|  0.9195|  0.9598|  0.9609|  0.9598|  0.9600|  0.9747|  0.8831|  0.8873|  0.8831|  0.8841|
|  010/050|  0.7854|  0.9663|  0.9673|  0.9663|  0.9663|  0.8609|  0.9091|  0.9124|  0.9091|  0.9093|
|  011/050|  0.6605|  0.9739|  0.9747|  0.9739|  0.9741|  0.7842|  0.9091|  0.9156|  0.9091|  0.9087|
|  012/050|  0.5683|  0.9837|  0.9841|  0.9837|  0.9837|  0.6942|  0.9091|  0.9128|  0.9091|  0.9090|
|  013/050|  0.4698|  0.9837|  0.9842|  0.9837|  0.9838|  0.6420|  0.9134|  0.9209|  0.9134|  0.9142|
|  014/050|  0.3916|  0.9891|  0.9894|  0.9891|  0.9892|  0.5742|  0.9091|  0.9104|  0.9091|  0.9091|
|  015/050|  0.3274|  0.9891|  0.9897|  0.9891|  0.9892|  0.5251|  0.9221|  0.9241|  0.9221|  0.9215|
|  016/050|  0.2690|  0.9924|  0.9927|  0.9924|  0.9924|  0.4853|  0.9264|  0.9295|  0.9264|  0.9256|
|  017/050|  0.2244|  0.9935|  0.9937|  0.9935|  0.9935|  0.4594|  0.9177|  0.9266|  0.9177|  0.9178|
|  018/050|  0.1934|  0.9946|  0.9947|  0.9946|  0.9946|  0.4355|  0.9221|  0.9281|  0.9221|  0.9214|
|  019/050|  0.1578|  0.9978|  0.9979|  0.9978|  0.9978|  0.3970|  0.9351|  0.9382|  0.9351|  0.9344|
|  020/050|  0.1366|  0.9989|  0.9989|  0.9989|  0.9989|  0.3759|  0.9351|  0.9382|  0.9351|  0.9344|
