######################################################################################################################
#                                            EXPERIMENTAL PROTOCOL REPORT                                            #
######################################################################################################################
# DATE      : 2026-09-23                                                                                             #
# TIME      : 09-24                                                                                                  #
# DATASET   : MNIST digits stratified                                                                                #
# CLASSIFIER: PCA + ZZFeatureMap + SamplerAnsatzLayer + Dense                                                        #
# SUBSET    : 2/5                                                                                                    #
# SPLITS    : train=921, val=231, test=288                                                                           #
# TRAINING  : epochs=50, batch_size=16, device=cpu, qnn_lr=0.0010, head_lr=0.0100, dataset_id=mnist_digits,          #
#             experiment_group=baseline, model_family=quantum_without_geqie, encoding_id=zz_feature_map,             #
#             model_id=pca_vqc_dense, quantum_layer=SamplerAnsatzLayer, shots=None, gradient_method=parameter_shift, #
#             scale_output=False                                                                                     #
# MODEL     : num_classes=10, num_qubits=9, num_layers=1                                                             #
# TORCHINFO SUMMARY:                                                                                                 #
# =================================================================                                                  #
# Layer (type:depth-idx)                   Param #                                                                   #
# =================================================================                                                  #
# PCAZZVQCDenseClassifier                  --                                                                        #
# ├─ZZFeatureMapStatevector: 1-1           --                                                                        #
# ├─SamplerAnsatzLayer: 1-2                27                                                                        #
# ├─Linear: 1-3                            5,130                                                                     #
# ├─LogSoftmax: 1-4                        --                                                                        #
# =================================================================                                                  #
# Total params: 5,157                                                                                                #
# Trainable params: 5,157                                                                                            #
# Non-trainable params: 0                                                                                            #
# =================================================================                                                  #
######################################################################################################################

+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|  Epoch  | TrLoss | TrAcc  | TrPrec | TrRec  |  TrF1  | VaLoss | VaAcc  | VaPrec | VaRec  |  VaF1  |
+=========+========+========+========+========+========+========+========+========+========+========+
|  001/050|  2.3077|  0.0923|  0.0308|  0.0923|  0.0368|  2.3015|  0.0996|  0.0099|  0.0996|  0.0180|
|  002/050|  2.2978|  0.1021|  0.1112|  0.1021|  0.0409|  2.2998|  0.1645|  0.1450|  0.1645|  0.1288|
|  003/050|  2.2919|  0.1357|  0.4290|  0.1357|  0.0951|  2.2987|  0.1385|  0.0466|  0.1385|  0.0619|
|  004/050|  2.2840|  0.2334|  0.4830|  0.2334|  0.1893|  2.2962|  0.1861|  0.1422|  0.1861|  0.1484|
|  005/050|  2.2766|  0.3257|  0.4751|  0.3257|  0.3053|  2.2950|  0.1732|  0.2895|  0.1732|  0.1196|
|  006/050|  2.2686|  0.2834|  0.5938|  0.2834|  0.2631|  2.2923|  0.1905|  0.1656|  0.1905|  0.1475|
|  007/050|  2.2611|  0.3029|  0.5873|  0.3029|  0.2422|  2.2900|  0.1732|  0.2628|  0.1732|  0.1224|
|  008/050|  2.2529|  0.4387|  0.5885|  0.4387|  0.4072|  2.2881|  0.2035|  0.2415|  0.2035|  0.1560|
|  009/050|  2.2443|  0.3931|  0.6256|  0.3931|  0.3790|  2.2864|  0.1602|  0.2295|  0.1602|  0.1499|
|  010/050|  2.2367|  0.5201|  0.6244|  0.5201|  0.5304|  2.2843|  0.2078|  0.1779|  0.2078|  0.1777|
|  011/050|  2.2299|  0.5027|  0.6351|  0.5027|  0.4933|  2.2819|  0.2078|  0.2512|  0.2078|  0.2052|
