Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.307710372;0.0901194354;0.03181086409;0.0901194354;0.03746972294;2.301784579;0.09956709957;0.009913607316;0.09956709957;0.01803183693
2;2.297625451;0.1009771987;0.1072388657;0.1009771987;0.04187029548;2.300363111;0.1861471861;0.2085340148;0.1861471861;0.1364679149
3;2.29162173;0.1302931596;0.2840781741;0.1302931596;0.08578755182;2.29978013;0.1428571429;0.04909378578;0.1428571429;0.06774327648
4;2.283727091;0.233441911;0.4369230598;0.233441911;0.1899543337;2.297818867;0.1601731602;0.2279325536;0.1601731602;0.1290937612
5;2.27631437;0.3463626493;0.5089143399;0.3463626493;0.3338716457;2.297210423;0.1515151515;0.1195851068;0.1515151515;0.09743159534
6;2.268335651;0.2844733985;0.5871260249;0.2844733985;0.2700553883;2.295041688;0.1774891775;0.2619404577;0.1774891775;0.1361444507
7;2.26081188;0.2953311618;0.6223147536;0.2953311618;0.2402820573;2.293487565;0.1774891775;0.2173824187;0.1774891775;0.1303319634
8;2.252724014;0.4419109663;0.6034826634;0.4419109663;0.4134692346;2.292410994;0.1515151515;0.1621837158;0.1515151515;0.1116367207
9;2.244300818;0.4136807818;0.6423487258;0.4136807818;0.408604377;2.291421318;0.1341991342;0.1811230506;0.1341991342;0.1230929478
10;2.236794274;0.5211726384;0.6175461879;0.5211726384;0.5224765198;2.290072028;0.1904761905;0.2212494134;0.1904761905;0.1699214832
11;2.229812614;0.4951140065;0.6372738285;0.4951140065;0.4881290026;2.288487116;0.1645021645;0.1731894409;0.1645021645;0.157160607
12;2.222078438;0.4972855592;0.5910697649;0.4972855592;0.4812509788;2.286760759;0.1558441558;0.155008005;0.1558441558;0.1466952989
13;2.213785862;0.4267100977;0.6787247527;0.4267100977;0.4336310416;2.285653337;0.1731601732;0.1693578969;0.1731601732;0.1587186525
14;2.208627545;0.4972855592;0.6011293976;0.4972855592;0.4846787565;2.28429726;0.1731601732;0.1163804807;0.1731601732;0.1329916577
15;2.198286574;0.6134636265;0.6553082763;0.6134636265;0.6114749479;2.283082199;0.1818181818;0.234765471;0.1818181818;0.1782807861
