Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;1.956305963;0.457111835;0.4563564637;0.457111835;0.4559912966;1.344285834;0.5497835498;0.7008065529;0.5497835498;0.5222134362
2;1.172636478;0.6449511401;0.6415516965;0.6449511401;0.6427889535;1.321163528;0.5930735931;0.7234445605;0.5930735931;0.5766989325
3;1.085796186;0.6666666667;0.664926073;0.6666666667;0.6652624327;1.269425188;0.645021645;0.7443983142;0.645021645;0.6436490796
4;0.9636260123;0.7046688382;0.7046795214;0.7046688382;0.7041675969;1.191161178;0.6363636364;0.7029474331;0.6363636364;0.6391646098
5;1.621313526;0.6047774159;0.6056279232;0.6047774159;0.6046907068;1.537035779;0.6233766234;0.652328103;0.6233766234;0.6030381919
6;1.473955453;0.6525515744;0.6521297448;0.6525515744;0.6517258484;1.896003517;0.5411255411;0.6372354602;0.5411255411;0.5275609496
7;1.385746438;0.6601520087;0.6591261447;0.6601520087;0.6594441462;1.575713432;0.6017316017;0.6723229563;0.6017316017;0.589660184
8;1.239141293;0.6699239957;0.6675912344;0.6699239957;0.6685102739;1.149269059;0.6666666667;0.6949113856;0.6666666667;0.6627810548
9;1.096906248;0.7035830619;0.7017698696;0.7035830619;0.7021556755;1.531768147;0.6363636364;0.6968832442;0.6363636364;0.6402936875
10;1.208748178;0.6894679696;0.6899395913;0.6894679696;0.6891984222;1.422245976;0.6623376623;0.7176093381;0.6623376623;0.6678152595
11;1.242084846;0.6796959826;0.6787845117;0.6796959826;0.6788398206;1.932100655;0.5887445887;0.5924335735;0.5887445887;0.5599291964
12;1.179339466;0.6883821933;0.6886227694;0.6883821933;0.6880985995;1.712802957;0.5757575758;0.6976172322;0.5757575758;0.5705392199
13;1.320080717;0.6894679696;0.6880307707;0.6894679696;0.6885634949;1.54952966;0.6233766234;0.6468812612;0.6233766234;0.6214274674
