Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.258146245;0.230184582;0.3866699622;0.230184582;0.2152215533;2.170009104;0.5367965368;0.5812206413;0.5367965368;0.4845636019
2;2.079733154;0.5504885993;0.5678827422;0.5504885993;0.5310711968;1.954807321;0.5670995671;0.5376458035;0.5670995671;0.4738894932
3;1.864443939;0.562432139;0.5625544685;0.562432139;0.5223424936;1.73029813;0.6277056277;0.7374427886;0.6277056277;0.5734829796
4;1.652504717;0.5808903366;0.5868556152;0.5808903366;0.5356675471;1.534113836;0.5974025974;0.6375641172;0.5974025974;0.5337596769
5;1.462878809;0.6319218241;0.6306147971;0.6319218241;0.5952020211;1.360059214;0.658008658;0.6585378185;0.658008658;0.6343272781
6;1.312100057;0.6362649294;0.6391201176;0.6362649294;0.6023621597;1.215990305;0.6883116883;0.6915955187;0.6883116883;0.6580151572
7;1.17677355;0.6796959826;0.6604141482;0.6796959826;0.6558918275;1.108854993;0.6796536797;0.7445196811;0.6796536797;0.6361939248
8;1.079307467;0.7111834962;0.6945432644;0.7111834962;0.6886760418;1.033269993;0.70995671;0.728116806;0.70995671;0.6989431435
9;0.9853238782;0.7242128122;0.7091078764;0.7242128122;0.7090930764;0.938799111;0.7402597403;0.7505503334;0.7402597403;0.7220744365
10;0.9090864391;0.7470141151;0.7309926665;0.7470141151;0.7227196931;0.8804874897;0.7445887446;0.7532282292;0.7445887446;0.7380168998
11;0.8423202788;0.7774158523;0.7626045606;0.7774158523;0.7643088007;0.8593541423;0.7402597403;0.7427885366;0.7402597403;0.7239070483
12;0.7894802402;0.8002171553;0.7868777022;0.8002171553;0.7840046411;0.8178737601;0.7748917749;0.7764970047;0.7748917749;0.7697039202
13;0.7439455154;0.7958740499;0.7881453872;0.7958740499;0.7833238779;0.7928127249;0.7705627706;0.7795095475;0.7705627706;0.7583508883
14;0.712055305;0.8045602606;0.796937758;0.8045602606;0.7914453233;0.7640565574;0.7619047619;0.7681455918;0.7619047619;0.7512332103
15;0.6676160092;0.8208469055;0.8094230752;0.8208469055;0.8059753083;0.7297500988;0.8051948052;0.8130571153;0.8051948052;0.8016219186
16;0.619433719;0.8479913138;0.8427498388;0.8479913138;0.8372911303;0.6890371184;0.8008658009;0.8058268517;0.8008658009;0.7973712709
17;0.5769008408;0.8490770901;0.8408965089;0.8490770901;0.8374863091;0.6929489692;0.8008658009;0.8090133666;0.8008658009;0.801131788
18;0.5488899047;0.8436482085;0.8414390144;0.8436482085;0.8337874438;0.6700663606;0.8095238095;0.8119776451;0.8095238095;0.8055086189
19;0.519232437;0.8729641694;0.8764766899;0.8729641694;0.8664536982;0.6661128044;0.7922077922;0.7982892518;0.7922077922;0.7900996138
20;0.4874596457;0.884907709;0.8851572919;0.884907709;0.878964382;0.6502100567;0.8008658009;0.8144769092;0.8008658009;0.8001957624
21;0.4515065803;0.8859934853;0.8897011478;0.8859934853;0.8800116593;0.6292523682;0.8181818182;0.828651592;0.8181818182;0.8168221834
22;0.4344333364;0.9055374593;0.9044587744;0.9055374593;0.9020429826;0.6290391227;0.8225108225;0.8241892956;0.8225108225;0.819165664
23;0.4127544026;0.9098805646;0.9129697658;0.9098805646;0.9052933651;0.6661979675;0.8095238095;0.808142097;0.8095238095;0.8033655396
24;0.3814311071;0.9077090119;0.9087649537;0.9077090119;0.9036260835;0.588632373;0.8354978355;0.8410462963;0.8354978355;0.8356073703
25;0.3476462318;0.9207383279;0.922698712;0.9207383279;0.9165025188;0.5902849555;0.8311688312;0.8387524805;0.8311688312;0.8327970178
26;0.3248405536;0.9315960912;0.9329751475;0.9315960912;0.9285425482;0.5980301778;0.8311688312;0.8317617887;0.8311688312;0.82957154
27;0.3055338798;0.9489685125;0.9506018624;0.9489685125;0.9477978114;0.6159010947;0.8138528139;0.8290940741;0.8138528139;0.8142553326
28;0.2775358188;0.9424538545;0.9432385488;0.9424538545;0.9405952088;0.6084185461;0.8051948052;0.8144892762;0.8051948052;0.8064559987
29;0.2657152459;0.9522258415;0.9528184549;0.9522258415;0.9506814665;0.6164860109;0.8008658009;0.8094050529;0.8008658009;0.8012108477
