Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;1.718929796;0.5439739414;0.5468459289;0.5439739414;0.5450506895;1.272091709;0.6753246753;0.7544823102;0.6753246753;0.6599120449
2;0.8484219537;0.7459283388;0.7449236589;0.7459283388;0.7449593988;1.269041025;0.670995671;0.63735173;0.670995671;0.64323826
3;0.8993824122;0.7394136808;0.7395621394;0.7394136808;0.7392755139;1.076629009;0.7229437229;0.7541453616;0.7229437229;0.7266130959
4;0.5868010116;0.8165038002;0.8167499792;0.8165038002;0.8165290295;1.162275743;0.6666666667;0.7172541278;0.6666666667;0.6710070602
5;0.6306342946;0.8165038002;0.8152916145;0.8165038002;0.8156417174;0.9371978059;0.7359307359;0.7608872673;0.7359307359;0.7385286721
6;0.6184218035;0.8262757872;0.8255048288;0.8262757872;0.8257450743;1.191301131;0.70995671;0.7107806697;0.70995671;0.6957571853
7;0.62334311;0.8251900109;0.8246147502;0.8251900109;0.8247221832;1.312721567;0.7402597403;0.7616082611;0.7402597403;0.7370775477
8;0.6593765439;0.8154180239;0.8182506191;0.8154180239;0.8164354335;1.21015853;0.7186147186;0.7323847941;0.7186147186;0.7035250112
9;0.7599776791;0.8013029316;0.8007467898;0.8013029316;0.8009349727;1.430794585;0.7056277056;0.7535365701;0.7056277056;0.7068392167
10;0.6439990941;0.8251900109;0.8257931096;0.8251900109;0.8253056449;1.468444729;0.7056277056;0.7463326471;0.7056277056;0.6999029228
